"DefendBase_Automation.contractName";"Automation";"Automation";;;
"DefendBase_ProfessionalEthics.dialogueList7.dialogueContent0.words";"My people only have one more building left to destroy. You're not going to at least try and make this a challenge for me?";"My people only have one more building left to destroy. You're not going to at least try and make this a challenge for me?";;;
"DefendBase_ProfessionalEthics.dialogueList8.dialogueContent0.words";"Mercenary Commander, we've received word of the assault on your position. Reinforcements are incoming, they are about halfway there. Maintain position and you will be relieved and reinforced shortly. ";"Mercenary Commander, we've received word of the assault on your position. Reinforcements are incoming, they are about halfway there. Maintain position and you will be relieved and reinforced shortly. ";;;
"DefendBase_ProfessionalEthics.dialogueList9.dialogueContent0.words";"Argo, this is {TEAM_EMP.FactionDef.Demonym} local command. Our turrets have been disabled by sabotage.";"Argo, this is {TEAM_EMP.FactionDef.Demonym} local command. Our turrets have been disabled by sabotage.";;;
"DefendBase_ProfessionalEthics.dialogueList9.dialogueContent1.words";"Well now <i>there's</i> a surprise.";"Well now <i>there's</i> a surprise.";;;
"DefendBase_ProfessionalEthics.dialogueList9.dialogueContent2.words";"That's going to make this mission rough, command. Suggestions?";"That's going to make this mission rough, command. Suggestions?";;;
"DefendBase_ProfessionalEthics.dialogueList9.dialogueContent3.words";"I have a team of engineers that can manually restart the turrets, but that can only be done in person at turret control.";"I have a team of engineers that can manually restart the turrets, but that can only be done in person at turret control.";;;
"DefendBase_ProfessionalEthics.dialogueList9.dialogueContent4.words";"Roger. Commander, if we want any backup, we'll need to keep those APCs alive until they get to the turret control building.";"Roger. Commander, if we want any backup, we'll need to keep those APCs alive until they get to the turret control building.";;;
"DefendBase_ProfessionalEthics.longDescription";"Why would anyone give their target a warning? And what the hell does 'professional ethics' mean? This is bizarre.";"Why would anyone give their target a warning? And what the hell does 'professional ethics' mean? This is bizarre.";;;
"DefendBase_ProfessionalEthics.objectiveList0.description";"Defend Targeted Base Structures from Attackers";"Defend Targeted Base Structures from Attackers";;;
"DefendBase_ProfessionalEthics.objectiveList0.title";"Defend Target Buildings";"Defend Target Buildings";;;
"DefendBase_ProfessionalEthics.objectiveList1.description";"Destroy the enemy vanguard force, the first wave.";"Destroy the enemy vanguard force, the first wave.";;;
"DefendBase_ProfessionalEthics.objectiveList1.title";"Destroy the Enemy Vanguard";"Destroy the Enemy Vanguard";;;
"DefendBase_ProfessionalEthics.objectiveList2.description";"Optional objective to keep ALL target structures intact.";"Optional objective to keep ALL target structures intact.";;;
"DefendBase_ProfessionalEthics.objectiveList2.title";"All target buildings must survive";"All target buildings must survive";;;
"DefendBase_ProfessionalEthics.objectiveList3.description";"Objective for tracking the time left in the mission. While the player it told to Hold Out for Reinforcements";"Objective for tracking the time left in the mission. While the player it told to Hold Out for Reinforcements";;;
"DefendBase_ProfessionalEthics.objectiveList3.title";"Hold Out for Reinforcements";"Hold Out for Reinforcements";;;
"DefendBase_ProfessionalEthics.objectiveList4.description";"Escort Engineer APCs to Base Defenses in order to take control of them.";"Escort Engineer APCs to Base Defenses in order to take control of them.";;;
"DefendBase_ProfessionalEthics.objectiveList4.title";"Escort Engineer APCs to Base Defenses";"Escort Engineer APCs to Base Defenses";;;
"DefendBase_ProfessionalEthics.objectiveList5.description";"Hidden Objective: Destroy the Second Lance";"Hidden Objective: Destroy the Second Lance";;;
"DefendBase_ProfessionalEthics.objectiveList5.title";"Hidden Objective: Destroy the Second Lance";"Hidden Objective: Destroy the Second Lance";;;
"DefendBase_ProfessionalEthics.objectiveList6.description";"Hidden Objective: Destroy the Third Lance";"Hidden Objective: Destroy the Third Lance";;;
"DefendBase_ProfessionalEthics.objectiveList6.title";"Hidden Objective: Destroy the Third Lance";"Hidden Objective: Destroy the Third Lance";;;
"DefendBase_ProfessionalEthics.objectiveList7.title";"Baddies Inbound";"Baddies Inbound";;;
"DefendBase_ProfessionalEthics.shortDescription";"We have an extremely odd assignment for you. We have a manufacturing facility on the planet below, and we've been aware that {TEAM_TAR.FactionDef.Demonym} forces have been scouting in the area. We've expected them to make a move, but we didn't expect them to... send us a warning beforehand? Apparently they've hired a mercenary who contacted us to let us know when the attack would be, because, and I'm quoting, \""professional ethics.\"" We have no idea what that means.";"We have an extremely odd assignment for you. We have a manufacturing facility on the planet below, and we've been aware that {TEAM_TAR.FactionDef.Demonym} forces have been scouting in the area. We've expected them to make a move, but we didn't expect them to... send us a warning beforehand? Apparently they've hired a mercenary who contacted us to let us know when the attack would be, because, and I'm quoting, ""professional ethics."" We have no idea what that means.";;;
"DefendBase_Vanguard_Hard_NEW.contractName";"Vanguard";"Vanguard";;;
"DefendBase_Vanguard_Hard_NEW.dialogueList0.dialogueContent0.words";"Commander it looks like this babysitting job may be heating up.";"Commander it looks like this babysitting job may be heating up.";;;
"DefendBase_Vanguard_Hard_NEW.dialogueList0.dialogueContent1.words";"We're picking up a large increase in {TEAM_TAR.FactionDef.Demonym} and {TEAM_EMP.FactionDef.Demonym} comm chatter.";"We're picking up a large increase in {TEAM_TAR.FactionDef.Demonym} and {TEAM_EMP.FactionDef.Demonym} comm chatter.";;;
"DefendBase_Vanguard_Hard_NEW.dialogueList0.dialogueContent2.words";"I suggest you power up your mechs and get ready.";"I suggest you power up your mechs and get ready.";;;
"DefendBase_Vanguard_Hard_NEW.dialogueList1.dialogueContent0.words";"The base is secure. Hopefully {TEAM_EMP.FactionDef.ShortName} can hold it themselves, now.";"The base is secure. Hopefully {TEAM_EMP.FactionDef.ShortName} can hold it themselves, now.";;;
"DefendBase_Vanguard_Hard_NEW.dialogueList2.dialogueContent0.words";"These losses are too heavy Commander, we've failed.";"These losses are too heavy Commander, we've failed.";;;
"DefendBase_Vanguard_Hard_NEW.dialogueList3.dialogueContent0.words";"They're in! The turrets are coming online.";"They're in! The turrets are coming online.";;;
"DefendBase_Vanguard_Hard_NEW.dialogueList4.dialogueContent0.words";"Warning commander, sensors are reading multiple contacts approaching from multiple vectors. Looks like the attacking force has brought reinforcements. ";"Warning commander, sensors are reading multiple contacts approaching from multiple vectors. Looks like the attacking force has brought reinforcements. ";;;
"DefendBase_Vanguard_Hard_NEW.dialogueList5.dialogueContent0.words";"Be advised, some of the target buildings are sustaining damage. Your mission is to keep them standing.";"Be advised, some of the target buildings are sustaining damage. Your mission is to keep them standing.";;;
"DefendBase_Vanguard_Hard_NEW.dialogueList6.dialogueContent0.words";"Commander, we lost a building!";"Commander, we lost a building!";;;
"DefendBase_Vanguard_Hard_NEW.dialogueList7.dialogueContent0.words";"Only one building still standing, Commander. We're cutting it awfully close, here.";"Only one building still standing, Commander. We're cutting it awfully close, here.";;;
"DefendBase_Vanguard_Hard_NEW.dialogueList8.dialogueContent0.words";"Mercenary Commander, we've received word of the assault on your position. Reinforcements are incoming, they are about halfway there. Maintain position and you will be relieved and reinforced shortly. ";"Mercenary Commander, we've received word of the assault on your position. Reinforcements are incoming, they are about halfway there. Maintain position and you will be relieved and reinforced shortly. ";;;
"DefendBase_Vanguard_Hard_NEW.dialogueList9.dialogueContent0.words";"Commander, one of our lances was hit on the way to the facility and has suffered 50% losses.";"Commander, one of our lances was hit on the way to the facility and has suffered 50% losses.";;;
"DefendBase_Vanguard_Hard_NEW.dialogueList9.dialogueContent1.words";"You must enure that the survivors reach the facility.";"You must enure that the survivors reach the facility.";;;
"DefendBase_Vanguard_Hard_NEW.dialogueList9.dialogueContent2.words";"They're carrying the hardware activation keys for the base turrets.";"They're carrying the hardware activation keys for the base turrets.";;;
"DefendBase_Vanguard_Hard_NEW.longDescription";"Commander, if they're hiring mercs to babysit when their forces are less than a day away they expect trouble. Rumors say {TEAM_TAR.FactionDef.Demonym} forces are in the area, they could present a threat.";"Commander, if they're hiring mercs to babysit when their forces are less than a day away they expect trouble. Rumors say {TEAM_TAR.FactionDef.Demonym} forces are in the area, they could present a threat.";;;
"DefendBase_Vanguard_Hard_NEW.objectiveList0.description";"Defend Targeted Base Structures from Attackers";"Defend Targeted Base Structures from Attackers";;;
"DefendBase_Vanguard_Hard_NEW.objectiveList0.title";"Defend Target Buildings";"Defend Target Buildings";;;
"DefendBase_Vanguard_Hard_NEW.objectiveList1.description";"Destroy the enemy vanguard force, the first wave.";"Destroy the enemy vanguard force, the first wave.";;;
"DefendBase_Vanguard_Hard_NEW.objectiveList1.title";"Destroy the Enemy Vanguard";"Destroy the Enemy Vanguard";;;
"DefendBase_Vanguard_Hard_NEW.objectiveList2.description";"Optional objective to keep ALL target structures intact.";"Optional objective to keep ALL target structures intact.";;;
"DefendBase_Vanguard_Hard_NEW.objectiveList2.title";"All target buildings must survive";"All target buildings must survive";;;
"DefendBase_Vanguard_Hard_NEW.objectiveList3.description";"Objective for tracking the time left in the mission. While the player it told to Hold Out for Reinforcements";"Objective for tracking the time left in the mission. While the player it told to Hold Out for Reinforcements";;;
"DefendBase_Vanguard_Hard_NEW.objectiveList3.title";"Hold Out for Reinforcements";"Hold Out for Reinforcements";;;
"DefendBase_Vanguard_Hard_NEW.objectiveList4.description";"Escort the {TEAM_EMP.FactionDef.Demonym} mechs back to the base.";"Escort the {TEAM_EMP.FactionDef.Demonym} mechs back to the base.";;;
"DefendBase_Vanguard_Hard_NEW.objectiveList4.title";"Cover the friendly lance.";"Cover the friendly lance.";;;
"DefendBase_Vanguard_Hard_NEW.objectiveList5.description";"Hidden Objective: Destroy the Second Lance";"Hidden Objective: Destroy the Second Lance";;;
"DefendBase_Vanguard_Hard_NEW.objectiveList5.title";"Hidden Objective: Destroy the Second Lance";"Hidden Objective: Destroy the Second Lance";;;
"DefendBase_Vanguard_Hard_NEW.objectiveList6.description";"Hidden Objective: Destroy the Third Lance";"Hidden Objective: Destroy the Third Lance";;;
"DefendBase_Vanguard_Hard_NEW.objectiveList6.title";"Hidden Objective: Destroy the Third Lance";"Hidden Objective: Destroy the Third Lance";;;
"DefendBase_Vanguard_Hard_NEW.objectiveList7.title";"Baddies Inbound";"Baddies Inbound";;;
"DefendBase_Vanguard_Hard_NEW.shortDescription";"We have a small disused base in a remote part of {TGT_SYSTEM.Name}. We need it and are preparing to reactivate it. We'd like to hire you to recon the facility and defend it until our forces can move in. We'll have a lance with you in half a day and a logistics team within 24 hours.";"We have a small disused base in a remote part of {TGT_SYSTEM.Name}. We need it and are preparing to reactivate it. We'd like to hire you to recon the facility and defend it until our forces can move in. We'll have a lance with you in half a day and a logistics team within 24 hours.";;;
