"CaptureEscort_AssetSecurity_Hard_NEW.contractName";"Secure the Assets";"Secure the Assets";;;
"CaptureEscort_ProfessionalLifestyle.objectiveList0.description";"The objective to destroy the force of enemies which will try adn stop the player from reaching the rally point.";"The objective to destroy the force of enemies which will try adn stop the player from reaching the rally point.";;;
"CaptureEscort_ProfessionalLifestyle.objectiveList0.title";"Destroy Enemy Blocking Force";"Destroy Enemy Blocking Force";;;
"CaptureEscort_ProfessionalLifestyle.objectiveList1.description";"Secure the Convoy Rally Point";"Secure the Convoy Rally Point";;;
"CaptureEscort_ProfessionalLifestyle.objectiveList1.title";"Secure the Motor Pool";"Secure the Motor Pool";;;
"CaptureEscort_ProfessionalLifestyle.objectiveList2.description";"The objective to destroy enemy units which will attempt to block the convoy from reaching its destination.";"The objective to destroy enemy units which will attempt to block the convoy from reaching its destination.";;;
"CaptureEscort_ProfessionalLifestyle.objectiveList2.title";"Destroy Enemy Reinforcements";"Destroy Enemy Reinforcements";;;
"CaptureEscort_ProfessionalLifestyle.objectiveList3.description";"Escort Friendly units to their Destination";"Escort Friendly units to their Destination";;;
"CaptureEscort_ProfessionalLifestyle.objectiveList3.title";"Escort Convoy units to their evac zone";"Escort Convoy units to their evac zone";;;
"CaptureEscort_ProfessionalLifestyle.objectiveList4.description";"Protect the all units in Convoy during Extraction, suffering no losses.";"Protect the all units in Convoy during Extraction, suffering no losses.";;;
"CaptureEscort_ProfessionalLifestyle.objectiveList4.title";"Ensure All Convoy units survive during Extraction";"Ensure All Convoy units survive during Extraction";;;
"CaptureEscort_ProfessionalLifestyle.objectiveList5.description";"Hidden Objective: Destroy hunter lance for mission complete.";"Hidden Objective: Destroy hunter lance for mission complete.";;;
"CaptureEscort_ProfessionalLifestyle.objectiveList5.title";"Hidden Objective: Destroy hunter lance for mission complete.";"Hidden Objective: Destroy hunter lance for mission complete.";;;
"CaptureEscort_ProfessionalLifestyle.objectiveList6.description";"The objective to escape with all the player units.";"The objective to escape with all the player units.";;;
"CaptureEscort_ProfessionalLifestyle.objectiveList6.title";"Get to the Evac Zone";"Get to the Evac Zone";;;
"CaptureEscort_ProfessionalLifestyle.objectiveList7.description";"USELESS OBJECTIVE";"USELESS OBJECTIVE";;;
"CaptureEscort_ProfessionalLifestyle.objectiveList7.title";"Protect Convoy while Dropship Arrives";"Protect Convoy while Dropship Arrives";;;
"CaptureEscort_ProfessionalLifestyle.objectiveList8.description";"USELESS OBJECTIVE";"USELESS OBJECTIVE";;;
"CaptureEscort_ProfessionalLifestyle.objectiveList8.title";"Protect Convoy as they Embark on the Dropship";"Protect Convoy as they Embark on the Dropship";;;
"CaptureEscort_ProfessionalLifestyle.shortDescription";"We've become aware of a target of opportunity. There's a convoy of military supplies moving through unpatrolled regions on the planet below, and we'd like to seize it for ourselves. The problem is that we have credible reports that {TEAM_TAR.FactionDef.Demonym} forces are also moving to intercept, and they've hired a skilled mercenary to lead their efforts. We'd like you to capture that convoy instead, and take it to a designated evac zone for pickup.";"We've become aware of a target of opportunity. There's a convoy of military supplies moving through unpatrolled regions on the planet below, and we'd like to seize it for ourselves. The problem is that we have credible reports that {TEAM_TAR.FactionDef.Demonym} forces are also moving to intercept, and they've hired a skilled mercenary to lead their efforts. We'd like you to capture that convoy instead, and take it to a designated evac zone for pickup.";;;
"CaptureEscort_Redirection.contractName";"Redirection";"Redirection";;;
"CaptureEscort_Redirection.dialogueList0.dialogueContent0.words";"The supply convoy is right where our employers said it would be.";"The supply convoy is right where our employers said it would be.";;;
"CaptureEscort_Redirection.dialogueList0.dialogueContent1.words";"Move up to secure the vehicles and let's get them moving.";"Move up to secure the vehicles and let's get them moving.";;;
"CaptureEscort_Redirection.dialogueList0.dialogueContent2.words";"Get them to the extraction LZ, keep them intact, and then get to the evac point. Oliveira out.";"Get them to the extraction LZ, keep them intact, and then get to the evac point. Oliveira out.";;;
"CaptureEscort_Redirection.dialogueList1.dialogueContent0.words";"Excellent work, Commander. The convoy safely reached extraction, and I have Sumire moments away from your position for a pick up.";"Excellent work, Commander. The convoy safely reached extraction, and I have Sumire moments away from your position for a pick up.";;;
"CaptureEscort_Redirection.dialogueList2.dialogueContent0.words";"Pack it in, Commander. This has turned into a real shit-show.";"Pack it in, Commander. This has turned into a real shit-show.";;;
"CaptureEscort_Redirection.dialogueList3.dialogueContent0.words";"Commander. The enemy has deployed reinforcements and they are inbound. Expect increased resistance.";"Commander. The enemy has deployed reinforcements and they are inbound. Expect increased resistance.";;;
"CaptureEscort_Redirection.dialogueList4.dialogueContent0.words";"And there's the reinforcements I was expecting. They'll be targeting the vehicles, Commander. Intercept them.";"And there's the reinforcements I was expecting. They'll be targeting the vehicles, Commander. Intercept them.";;;
"CaptureEscort_Redirection.dialogueList5.dialogueContent0.words";"You've reached the extraction point for the objective vehicles. Hold there are keep them safe until we can get them out.";"You've reached the extraction point for the objective vehicles. Hold there are keep them safe until we can get them out.";;;
"CaptureEscort_Redirection.dialogueList6.dialogueContent0.words";"The convoy's signaling their surrender. We're transmitting their new destination now. Keep them safe while they get there.";"The convoy's signaling their surrender. We're transmitting their new destination now. Keep them safe while they get there.";;;
"CaptureEscort_Redirection.dialogueList6.dialogueContent1.words";"Keep in mind that the convoy will try to stay near you for protection. Continue advancing to get them to the extract point!";"Keep in mind that the convoy will try to stay near you for protection. Continue advancing to get them to the extract point!";;;
"CaptureEscort_Redirection.dialogueList7.dialogueContent0.words";"And they are away! The convoy is safely out of the AO. Good work, Commander. Now get your remaining forces to the second evac zone for extraction there. ";"And they are away! The convoy is safely out of the AO. Good work, Commander. Now get your remaining forces to the second evac zone for extraction there. ";;;
"CaptureEscort_Redirection.longDescription";"As soon as {TEAM_TAR.FactionDef.Demonym} leadership realizes what we're doing, Commander, they're going to try to destroy the convoy themselves. Expect enemy reinforcements to target the vehicles.";"As soon as {TEAM_TAR.FactionDef.Demonym} leadership realizes what we're doing, Commander, they're going to try to destroy the convoy themselves. Expect enemy reinforcements to target the vehicles.";;;
"CaptureEscort_Redirection.objectiveList0.description";"The objective to destroy the force of enemies which will try and stop the player from reaching the rally point.";"The objective to destroy the force of enemies which will try and stop the player from reaching the rally point.";;;
"CaptureEscort_Redirection.objectiveList0.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Blocking Force";"Destroy {TEAM_TAR.FactionDef.Demonym} Blocking Force";;;
"CaptureEscort_Redirection.objectiveList1.description";"Secure the Convoy Rally Point";"Secure the Convoy Rally Point";;;
"CaptureEscort_Redirection.objectiveList1.title";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";;;
"CaptureEscort_Redirection.objectiveList2.description";"The objective to destroy enemy units which will attempt to block the convoy from reaching its destination.";"The objective to destroy enemy units which will attempt to block the convoy from reaching its destination.";;;
"CaptureEscort_Redirection.objectiveList2.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";;;
"CaptureEscort_Redirection.objectiveList3.description";"Escort Friendly units to their Destination";"Escort Friendly units to their Destination";;;
"CaptureEscort_Redirection.objectiveList3.title";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";;;
"CaptureEscort_Redirection.objectiveList4.description";"Protect the all units in Convoy during Extraction, suffering no losses.";"Protect the all units in Convoy during Extraction, suffering no losses.";;;
"CaptureEscort_Redirection.objectiveList4.title";"Ensure All Convoy Units Survive";"Ensure All Convoy Units Survive";;;
"CaptureEscort_Redirection.objectiveList5.description";"Hidden Objective: Destroy hunter lance for mission complete.";"Hidden Objective: Destroy hunter lance for mission complete.";;;
"CaptureEscort_Redirection.objectiveList5.title";"Hidden Objective: Destroy hunter lance for mission complete.";"Hidden Objective: Destroy hunter lance for mission complete.";;;
"CaptureEscort_Redirection.objectiveList6.description";"The objective to escape with all the player units.";"The objective to escape with all the player units.";;;
"CaptureEscort_Redirection.objectiveList6.title";"Get to the Evac Zone";"Get to the Evac Zone";;;
"CaptureEscort_Redirection.objectiveList7.description";"USELESS OBJECTIVE";"USELESS OBJECTIVE";;;
"CaptureEscort_Redirection.objectiveList7.title";"Protect Convoy while Dropship Arrives";"Protect Convoy while Dropship Arrives";;;
"CaptureEscort_Redirection.objectiveList8.description";"USELESS OBJECTIVE";"USELESS OBJECTIVE";;;
"CaptureEscort_Redirection.objectiveList8.title";"Protect Convoy as they Embark on the Dropship";"Protect Convoy as they Embark on the Dropship";;;
"CaptureEscort_Redirection.shortDescription";"We've received intel that {TEAM_TAR.FactionDef.Name} is reinforcing one of their key fortifications on {TGT_SYSTEM.name}. If we allow them to do so, {TEAM_EMP.FactionDef.Demonym} destabilization operations here will be set back by months, possibly years. We need you to intercept the supply convoy and redirect it to a waiting dropship, which will carry the supplies to our insurgent forces on the planet.";"We've received intel that {TEAM_TAR.FactionDef.Name} is reinforcing one of their key fortifications on {TGT_SYSTEM.name}. If we allow them to do so, {TEAM_EMP.FactionDef.Demonym} destabilization operations here will be set back by months, possibly years. We need you to intercept the supply convoy and redirect it to a waiting dropship, which will carry the supplies to our insurgent forces on the planet.";;;
"CaptureEscort_SaveThePrototype_Hard.contractName";"Scientific Emergency";"Scientific Emergency";;;
"CaptureEscort_SaveThePrototype_Hard.dialogueList0.dialogueContent0.words";"We have friendly units about to come under fire.";"We have friendly units about to come under fire.";;;
"CaptureEscort_SaveThePrototype_Hard.dialogueList0.dialogueContent1.words";"Move to their position and provide support.";"Move to their position and provide support.";;;
"CaptureEscort_SaveThePrototype_Hard.dialogueList0.dialogueContent2.words";"Get them to safety, keep them intact, and get out there when it's done.";"Get them to safety, keep them intact, and get out there when it's done.";;;
"CaptureEscort_SaveThePrototype_Hard.dialogueList1.dialogueContent0.words";"Excellent work, Commander. The convoy carrying the prototype safely reached extraction. We're on our way in for a pick up.";"Excellent work, Commander. The convoy carrying the prototype safely reached extraction. We're on our way in for a pick up.";;;
"CaptureEscort_SaveThePrototype_Hard.dialogueList2.dialogueContent0.words";"Pack it in, Commander. Nothing left to do here.";"Pack it in, Commander. Nothing left to do here.";;;
"CaptureEscort_SaveThePrototype_Hard.dialogueList3.dialogueContent0.words";"Commander. The enemy has deployed reinforcements and they are inbound. Expect increased resistance.";"Commander. The enemy has deployed reinforcements and they are inbound. Expect increased resistance.";;;
"CaptureEscort_SaveThePrototype_Hard.dialogueList4.dialogueContent0.words";"More contacts on the sensors, Commander. Looks like they're sending in additional units to destroy the convoy.";"More contacts on the sensors, Commander. Looks like they're sending in additional units to destroy the convoy.";;;
"CaptureEscort_SaveThePrototype_Hard.dialogueList5.dialogueContent0.words";"You've reached the extraction point for the objective vehicles. Hold there are keep them safe until we can get them out.";"You've reached the extraction point for the objective vehicles. Hold there are keep them safe until we can get them out.";;;
"CaptureEscort_SaveThePrototype_Hard.dialogueList6.dialogueContent0.words";"Good, it looks you've secured the area around the convoy's position. They are ready to make their way towards the extraction point now. Keep them alive!";"Good, it looks you've secured the area around the convoy's position. They are ready to make their way towards the extraction point now. Keep them alive!";;;
"CaptureEscort_SaveThePrototype_Hard.dialogueList6.dialogueContent1.words";"Keep in mind that the convoy will try to stay near you for protection. Continue advancing to get them to the extract point!";"Keep in mind that the convoy will try to stay near you for protection. Continue advancing to get them to the extract point!";;;
"CaptureEscort_SaveThePrototype_Hard.dialogueList7.dialogueContent0.words";"And they are away! The convoy is safely out of the AO. Good work, Commander. Now get your remaining forces to the second evac zone for extraction there. ";"And they are away! The convoy is safely out of the AO. Good work, Commander. Now get your remaining forces to the second evac zone for extraction there. ";;;
"CaptureEscort_SaveThePrototype_Hard.longDescription";"Commander, this is definitely a contract where speed is of the essence. I expect that if {TEAM_TAR.FactionDef.Demonym} forces locate the asset, they'll rally reinforcements from the captured research facility.";"Commander, this is definitely a contract where speed is of the essence. I expect that if {TEAM_TAR.FactionDef.Demonym} forces locate the asset, they'll rally reinforcements from the captured research facility.";;;
"CaptureEscort_SaveThePrototype_Hard.objectiveList0.description";"The objective to destroy the force of enemies which will try and stop the player from reaching the rally point.";"The objective to destroy the force of enemies which will try and stop the player from reaching the rally point.";;;
"CaptureEscort_SaveThePrototype_Hard.objectiveList0.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Blocking Force";"Destroy {TEAM_TAR.FactionDef.Demonym} Blocking Force";;;
"CaptureEscort_SaveThePrototype_Hard.objectiveList1.description";"Secure the Convoy Rally Point";"Secure the Convoy Rally Point";;;
"CaptureEscort_SaveThePrototype_Hard.objectiveList1.title";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";;;
"CaptureEscort_SaveThePrototype_Hard.objectiveList2.description";"The objective to destroy enemy units which will attempt to block the convoy from reaching its destination.";"The objective to destroy enemy units which will attempt to block the convoy from reaching its destination.";;;
"CaptureEscort_SaveThePrototype_Hard.objectiveList2.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";;;
"CaptureEscort_SaveThePrototype_Hard.objectiveList3.description";"Escort Friendly units to their Destination";"Escort Friendly units to their Destination";;;
"CaptureEscort_SaveThePrototype_Hard.objectiveList3.title";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";;;
"CaptureEscort_SaveThePrototype_Hard.objectiveList4.description";"Protect the all units in Convoy during Extraction, suffering no losses.";"Protect the all units in Convoy during Extraction, suffering no losses.";;;
"CaptureEscort_SaveThePrototype_Hard.objectiveList4.title";"Ensure All Convoy Units Survive";"Ensure All Convoy Units Survive";;;
"CaptureEscort_SaveThePrototype_Hard.objectiveList5.description";"Hidden Objective: Destroy hunter lance for mission complete.";"Hidden Objective: Destroy hunter lance for mission complete.";;;
"CaptureEscort_SaveThePrototype_Hard.objectiveList5.title";"Hidden Objective: Destroy hunter lance for mission complete.";"Hidden Objective: Destroy hunter lance for mission complete.";;;
"CaptureEscort_SaveThePrototype_Hard.objectiveList6.description";"The objective to escape with all the player units.";"The objective to escape with all the player units.";;;
"CaptureEscort_SaveThePrototype_Hard.objectiveList6.title";"Get to the Evac Zone";"Get to the Evac Zone";;;
"CaptureEscort_SaveThePrototype_Hard.objectiveList7.description";"USELESS OBJECTIVE";"USELESS OBJECTIVE";;;
"CaptureEscort_SaveThePrototype_Hard.objectiveList7.title";"Protect Convoy while Dropship Arrives";"Protect Convoy while Dropship Arrives";;;
"CaptureEscort_SaveThePrototype_Hard.objectiveList8.description";"USELESS OBJECTIVE";"USELESS OBJECTIVE";;;
"CaptureEscort_SaveThePrototype_Hard.objectiveList8.title";"Protect Convoy as they Embark on the Dropship";"Protect Convoy as they Embark on the Dropship";;;
"CaptureEscort_SaveThePrototype_Hard.shortDescription";"A surprise attack by {TEAM_TAR.FactionDef.ShortName} resulted in the capture of our research facility here in the {TGT_SYSTEM.name} system. At the last moment, when all was lost, a convoy managed to escape with an extremely valuable prototype. With the facility in enemy hands, we need this prototype to reconstruct the work of our scientists. Intercept the convoy before the enemy does, and escort our researchers to safety.";"A surprise attack by {TEAM_TAR.FactionDef.ShortName} resulted in the capture of our research facility here in the {TGT_SYSTEM.name} system. At the last moment, when all was lost, a convoy managed to escape with an extremely valuable prototype. With the facility in enemy hands, we need this prototype to reconstruct the work of our scientists. Intercept the convoy before the enemy does, and escort our researchers to safety.";;;
