"CaptureEscort_AmmoHeist_NEW.contractName";"Ammo Heist";"Ammo Heist";;;
"CaptureEscort_BlownOperation_Alt.objectiveList0.description";"The objective to destroy the force of enemies which will try and stop the player from reaching the rally point.";"The objective to destroy the force of enemies which will try and stop the player from reaching the rally point.";;;
"CaptureEscort_BlownOperation_Alt.objectiveList0.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Blocking Force";"Destroy {TEAM_TAR.FactionDef.Demonym} Blocking Force";;;
"CaptureEscort_BlownOperation_Alt.objectiveList1.description";"Secure the Convoy Rally Point";"Secure the Convoy Rally Point";;;
"CaptureEscort_BlownOperation_Alt.objectiveList1.title";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";;;
"CaptureEscort_BlownOperation_Alt.objectiveList2.description";"The objective to destroy enemy units which will attempt to block the convoy from reaching its destination.";"The objective to destroy enemy units which will attempt to block the convoy from reaching its destination.";;;
"CaptureEscort_BlownOperation_Alt.objectiveList2.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";;;
"CaptureEscort_BlownOperation_Alt.objectiveList3.description";"Escort Friendly units to their Destination";"Escort Friendly units to their Destination";;;
"CaptureEscort_BlownOperation_Alt.objectiveList3.title";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";;;
"CaptureEscort_BlownOperation_Alt.objectiveList4.description";"Protect the all units in Convoy during Extraction, suffering no losses.";"Protect the all units in Convoy during Extraction, suffering no losses.";;;
"CaptureEscort_BlownOperation_Alt.objectiveList4.title";"Ensure All Convoy Units Survive";"Ensure All Convoy Units Survive";;;
"CaptureEscort_BlownOperation_Alt.objectiveList5.description";"Hidden Objective: Destroy hunter lance for mission complete.";"Hidden Objective: Destroy hunter lance for mission complete.";;;
"CaptureEscort_BlownOperation_Alt.objectiveList5.title";"Hidden Objective: Destroy hunter lance for mission complete.";"Hidden Objective: Destroy hunter lance for mission complete.";;;
"CaptureEscort_BlownOperation_Alt.objectiveList6.description";"The objective to escape with all the player units.";"The objective to escape with all the player units.";;;
"CaptureEscort_BlownOperation_Alt.objectiveList6.title";"Get to the Evac Zone";"Get to the Evac Zone";;;
"CaptureEscort_BlownOperation_Alt.objectiveList7.description";"USELESS OBJECTIVE";"USELESS OBJECTIVE";;;
"CaptureEscort_BlownOperation_Alt.objectiveList7.title";"Protect Convoy while Dropship Arrives";"Protect Convoy while Dropship Arrives";;;
"CaptureEscort_BlownOperation_Alt.objectiveList8.description";"USELESS OBJECTIVE";"USELESS OBJECTIVE";;;
"CaptureEscort_BlownOperation_Alt.objectiveList8.title";"Protect Convoy as they Embark on the Dropship";"Protect Convoy as they Embark on the Dropship";;;
"CaptureEscort_BlownOperation_Alt.shortDescription";"Less than an hour ago, we lost contact with a covert team tasked with infiltrating a {TEAM_TAR.FactionDef.Demonym} facility. The only reason for them not to respond is if their operation was blown, by discovery or counterintelligence. The research materials they were meant to collect are extremely important, and we can't afford to lose them. We need you to make a rapid and immediate deployment to the the facility, and get our people and their cargo to safety.";"Less than an hour ago, we lost contact with a covert team tasked with infiltrating a {TEAM_TAR.FactionDef.Demonym} facility. The only reason for them not to respond is if their operation was blown, by discovery or counterintelligence. The research materials they were meant to collect are extremely important, and we can't afford to lose them. We need you to make a rapid and immediate deployment to the the facility, and get our people and their cargo to safety.";;;
"CaptureEscort_GrandTheftAuto.contractName";"Grand Theft Auto";"Grand Theft Auto";;;
"CaptureEscort_GrandTheftAuto.dialogueList0.dialogueContent0.words";"Not seeing any 'Mech engine signatures. It doesn't seem like they're alerted to our presence yet, XO.";"Not seeing any 'Mech engine signatures. It doesn't seem like they're alerted to our presence yet, XO.";;;
"CaptureEscort_GrandTheftAuto.dialogueList0.dialogueContent1.words";"Perfect. Commander, the motor pool is in this area. Move up and occupy it, and we'll signal to the {TEAM_EMP.FactionDef.Demonym} agents to start their engines.";"Perfect. Commander, the motor pool is in this area. Move up and occupy it, and we'll signal to the {TEAM_EMP.FactionDef.Demonym} agents to start their engines.";;;
"CaptureEscort_GrandTheftAuto.dialogueList0.dialogueContent2.words";"Once they power those vehicles up, all hell is going to break loose, so be ready.";"Once they power those vehicles up, all hell is going to break loose, so be ready.";;;
"CaptureEscort_GrandTheftAuto.dialogueList1.dialogueContent0.words";"Excellent work, Commander. The vehicles are safely away.";"Excellent work, Commander. The vehicles are safely away.";;;
"CaptureEscort_GrandTheftAuto.dialogueList2.dialogueContent0.words";"Pack it in, Commander. Nothing left to do here.";"Pack it in, Commander. Nothing left to do here.";;;
"CaptureEscort_GrandTheftAuto.dialogueList3.dialogueContent0.words";"Commander. The enemy has deployed reinforcements and they are inbound. Expect increased resistance.";"Commander. The enemy has deployed reinforcements and they are inbound. Expect increased resistance.";;;
"CaptureEscort_GrandTheftAuto.dialogueList4.dialogueContent0.words";"I don't know who you are, but power down those vehicles and surrender or we'll turn them, and you, into scrap.";"I don't know who you are, but power down those vehicles and surrender or we'll turn them, and you, into scrap.";;;
"CaptureEscort_GrandTheftAuto.dialogueList4.dialogueContent1.words";"Keep radio silence, people. And expect more company.";"Keep radio silence, people. And expect more company.";;;
"CaptureEscort_GrandTheftAuto.dialogueList5.dialogueContent0.words";"You've reached the extraction point for the objective vehicles. Hold there are keep them safe until we can get them out.";"You've reached the extraction point for the objective vehicles. Hold there are keep them safe until we can get them out.";;;
"CaptureEscort_GrandTheftAuto.dialogueList6.dialogueContent0.words";"Bravo squad, this is Argo actual. Are you ready to move?";"Bravo squad, this is Argo actual. Are you ready to move?";;;
"CaptureEscort_GrandTheftAuto.dialogueList6.dialogueContent1.words";"Roger, Argo. Also we've been able to get the Demolisher armed; my driver is grinning like a maniac, so expect some big booms.";"Roger, Argo. Also we've been able to get the Demolisher armed; my driver is grinning like a maniac, so expect some big booms.";;;
"CaptureEscort_GrandTheftAuto.dialogueList6.dialogueContent2.words";"Ha! I like these guys, Darius.";"Ha! I like these guys, Darius.";;;
"CaptureEscort_GrandTheftAuto.dialogueList7.dialogueContent0.words";"And they are away! The convoy is safely out of the AO. Good work, Commander. Now get your remaining forces to the second evac zone for extraction there. ";"And they are away! The convoy is safely out of the AO. Good work, Commander. Now get your remaining forces to the second evac zone for extraction there. ";;;
"CaptureEscort_GrandTheftAuto.longDescription";"Commander, if that Demolisher has ammo on board, this could be a short and simple mission. Those things are terrifying.";"Commander, if that Demolisher has ammo on board, this could be a short and simple mission. Those things are terrifying.";;;
"CaptureEscort_GrandTheftAuto.objectiveList0.description";"The objective to destroy the force of enemies which will try and stop the player from reaching the rally point.";"The objective to destroy the force of enemies which will try and stop the player from reaching the rally point.";;;
"CaptureEscort_GrandTheftAuto.objectiveList0.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Blocking Force";"Destroy {TEAM_TAR.FactionDef.Demonym} Blocking Force";;;
"CaptureEscort_GrandTheftAuto.objectiveList1.description";"Secure the Convoy Rally Point";"Secure the Convoy Rally Point";;;
"CaptureEscort_GrandTheftAuto.objectiveList1.title";"Secure the Motor Pool";"Secure the Motor Pool";;;
"CaptureEscort_GrandTheftAuto.objectiveList2.description";"The objective to destroy enemy units which will attempt to block the convoy from reaching its destination.";"The objective to destroy enemy units which will attempt to block the convoy from reaching its destination.";;;
"CaptureEscort_GrandTheftAuto.objectiveList2.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";;;
"CaptureEscort_GrandTheftAuto.objectiveList3.description";"Escort Friendly units to their Destination";"Escort Friendly units to their Destination";;;
"CaptureEscort_GrandTheftAuto.objectiveList3.title";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";;;
"CaptureEscort_GrandTheftAuto.objectiveList4.description";"Protect the all units in Convoy during Extraction, suffering no losses.";"Protect the all units in Convoy during Extraction, suffering no losses.";;;
"CaptureEscort_GrandTheftAuto.objectiveList4.title";"Ensure All Convoy Units Survive";"Ensure All Convoy Units Survive";;;
"CaptureEscort_GrandTheftAuto.objectiveList5.description";"Hidden Objective: Destroy hunter lance for mission complete.";"Hidden Objective: Destroy hunter lance for mission complete.";;;
"CaptureEscort_GrandTheftAuto.objectiveList5.title";"Hidden Objective: Destroy hunter lance for mission complete.";"Hidden Objective: Destroy hunter lance for mission complete.";;;
"CaptureEscort_GrandTheftAuto.objectiveList6.description";"The objective to escape with all the player units.";"The objective to escape with all the player units.";;;
"CaptureEscort_GrandTheftAuto.objectiveList6.title";"Get to the Evac Zone";"Get to the Evac Zone";;;
"CaptureEscort_GrandTheftAuto.objectiveList7.description";"USELESS OBJECTIVE";"USELESS OBJECTIVE";;;
"CaptureEscort_GrandTheftAuto.objectiveList7.title";"Protect Convoy while Dropship Arrives";"Protect Convoy while Dropship Arrives";;;
"CaptureEscort_GrandTheftAuto.objectiveList8.description";"USELESS OBJECTIVE";"USELESS OBJECTIVE";;;
"CaptureEscort_GrandTheftAuto.objectiveList8.title";"Protect Convoy as they Embark on the Dropship";"Protect Convoy as they Embark on the Dropship";;;
"CaptureEscort_GrandTheftAuto.shortDescription";"The {TEAM_TAR.FactionDef.Demonym} authorities here on {TGT_SYSTEM.name} have recently taken a shipment of military vehicles, including an operational Demolisher. This represents an unacceptable buildup of force on this world, but also presents us with an opportunity. We have people in place prepared to steal those vehicles, but without 'Mechs providing an escort, they'll be attacked as soon as {TEAM_TAR.FactionDef.Demonym} command notices they're leaving without orders. Get the vehicles to an extraction point, and keep them intact.";"The {TEAM_TAR.FactionDef.Demonym} authorities here on {TGT_SYSTEM.name} have recently taken a shipment of military vehicles, including an operational Demolisher. This represents an unacceptable buildup of force on this world, but also presents us with an opportunity. We have people in place prepared to steal those vehicles, but without 'Mechs providing an escort, they'll be attacked as soon as {TEAM_TAR.FactionDef.Demonym} command notices they're leaving without orders. Get the vehicles to an extraction point, and keep them intact.";;;
"CaptureEscort_GrandTheftAuto_Alt.contractName";"Grand Theft Auto";"Grand Theft Auto";;;
"CaptureEscort_GrandTheftAuto_Alt.dialogueList0.dialogueContent0.words";"Not seeing any 'Mech engine signatures. It doesn't seem like they're alerted to our presence yet, XO.";"Not seeing any 'Mech engine signatures. It doesn't seem like they're alerted to our presence yet, XO.";;;
"CaptureEscort_GrandTheftAuto_Alt.dialogueList0.dialogueContent1.words";"Perfect. Commander, the motor pool is in this area. Move up and occupy it, and we'll signal to the {TEAM_EMP.FactionDef.Demonym} agents to start their engines.";"Perfect. Commander, the motor pool is in this area. Move up and occupy it, and we'll signal to the {TEAM_EMP.FactionDef.Demonym} agents to start their engines.";;;
"CaptureEscort_GrandTheftAuto_Alt.dialogueList0.dialogueContent2.words";"Once they power those vehicles up, all hell is going to break loose, so be ready.";"Once they power those vehicles up, all hell is going to break loose, so be ready.";;;
"CaptureEscort_GrandTheftAuto_Alt.dialogueList1.dialogueContent0.words";"Excellent work, Commander. The vehicles are safely away.";"Excellent work, Commander. The vehicles are safely away.";;;
"CaptureEscort_GrandTheftAuto_Alt.dialogueList2.dialogueContent0.words";"Pack it in, Commander. Nothing left to do here.";"Pack it in, Commander. Nothing left to do here.";;;
"CaptureEscort_GrandTheftAuto_Alt.dialogueList3.dialogueContent0.words";"Commander. The enemy has deployed reinforcements and they are inbound. Expect increased resistance.";"Commander. The enemy has deployed reinforcements and they are inbound. Expect increased resistance.";;;
"CaptureEscort_GrandTheftAuto_Alt.dialogueList4.dialogueContent0.words";"I don't know who you are, but power down those vehicles and surrender or we'll turn them, and you, into scrap.";"I don't know who you are, but power down those vehicles and surrender or we'll turn them, and you, into scrap.";;;
"CaptureEscort_GrandTheftAuto_Alt.dialogueList4.dialogueContent1.words";"Keep radio silence, people. And expect more company.";"Keep radio silence, people. And expect more company.";;;
"CaptureEscort_GrandTheftAuto_Alt.dialogueList5.dialogueContent0.words";"You've reached the extraction point for the objective vehicles. Hold there are keep them safe until we can get them out.";"You've reached the extraction point for the objective vehicles. Hold there are keep them safe until we can get them out.";;;
"CaptureEscort_GrandTheftAuto_Alt.dialogueList6.dialogueContent0.words";"Bravo squad, this is Argo actual. Are you ready to move?";"Bravo squad, this is Argo actual. Are you ready to move?";;;
"CaptureEscort_GrandTheftAuto_Alt.dialogueList6.dialogueContent1.words";"Roger, Argo. The good news is that the Demolisher is armed. The bad news is that it needs some serious maintenance, and its armor is garbage.";"Roger, Argo. The good news is that the Demolisher is armed. The bad news is that it needs some serious maintenance, and its armor is garbage.";;;
"CaptureEscort_GrandTheftAuto_Alt.dialogueList6.dialogueContent2.words";"In other words, it's a glass cannon. Don't count on too much support from it, boss, and <i>definitely</i> don't let it take any fire.";"In other words, it's a glass cannon. Don't count on too much support from it, boss, and <i>definitely</i> don't let it take any fire.";;;
"CaptureEscort_GrandTheftAuto_Alt.dialogueList7.dialogueContent0.words";"And they are away! The convoy is safely out of the AO. Good work, Commander. Now get your remaining forces to the second evac zone for extraction there. ";"And they are away! The convoy is safely out of the AO. Good work, Commander. Now get your remaining forces to the second evac zone for extraction there. ";;;
"CaptureEscort_GrandTheftAuto_Alt.longDescription";"Commander, if that Demolisher has ammo on board, this mission might be short and simple. Those things are terrifying.";"Commander, if that Demolisher has ammo on board, this mission might be short and simple. Those things are terrifying.";;;
"CaptureEscort_GrandTheftAuto_Alt.objectiveList0.description";"The objective to destroy the force of enemies which will try and stop the player from reaching the rally point.";"The objective to destroy the force of enemies which will try and stop the player from reaching the rally point.";;;
"CaptureEscort_GrandTheftAuto_Alt.objectiveList0.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Blocking Force";"Destroy {TEAM_TAR.FactionDef.Demonym} Blocking Force";;;
"CaptureEscort_GrandTheftAuto_Alt.objectiveList1.description";"Secure the Convoy Rally Point";"Secure the Convoy Rally Point";;;
"CaptureEscort_GrandTheftAuto_Alt.objectiveList1.title";"Secure the Motor Pool";"Secure the Motor Pool";;;
"CaptureEscort_GrandTheftAuto_Alt.objectiveList2.description";"The objective to destroy enemy units which will attempt to block the convoy from reaching its destination.";"The objective to destroy enemy units which will attempt to block the convoy from reaching its destination.";;;
"CaptureEscort_GrandTheftAuto_Alt.objectiveList2.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";;;
"CaptureEscort_GrandTheftAuto_Alt.objectiveList3.description";"Escort Friendly units to their Destination";"Escort Friendly units to their Destination";;;
"CaptureEscort_GrandTheftAuto_Alt.objectiveList3.title";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";;;
"CaptureEscort_GrandTheftAuto_Alt.objectiveList4.description";"Protect the all units in Convoy during Extraction, suffering no losses.";"Protect the all units in Convoy during Extraction, suffering no losses.";;;
"CaptureEscort_GrandTheftAuto_Alt.objectiveList4.title";"Ensure All Convoy Units Survive";"Ensure All Convoy Units Survive";;;
"CaptureEscort_GrandTheftAuto_Alt.objectiveList5.description";"Hidden Objective: Destroy hunter lance for mission complete.";"Hidden Objective: Destroy hunter lance for mission complete.";;;
"CaptureEscort_GrandTheftAuto_Alt.objectiveList5.title";"Hidden Objective: Destroy hunter lance for mission complete.";"Hidden Objective: Destroy hunter lance for mission complete.";;;
"CaptureEscort_GrandTheftAuto_Alt.objectiveList6.description";"The objective to escape with all the player units.";"The objective to escape with all the player units.";;;
"CaptureEscort_GrandTheftAuto_Alt.objectiveList6.title";"Get to the Evac Zone";"Get to the Evac Zone";;;
"CaptureEscort_GrandTheftAuto_Alt.objectiveList7.description";"USELESS OBJECTIVE";"USELESS OBJECTIVE";;;
"CaptureEscort_GrandTheftAuto_Alt.objectiveList7.title";"Protect Convoy while Dropship Arrives";"Protect Convoy while Dropship Arrives";;;
"CaptureEscort_GrandTheftAuto_Alt.objectiveList8.description";"USELESS OBJECTIVE";"USELESS OBJECTIVE";;;
"CaptureEscort_GrandTheftAuto_Alt.objectiveList8.title";"Protect Convoy as they Embark on the Dropship";"Protect Convoy as they Embark on the Dropship";;;
"CaptureEscort_GrandTheftAuto_Alt.shortDescription";"The {TEAM_TAR.FactionDef.Demonym} authorities here on {TGT_SYSTEM.name} have recently taken a shipment of military vehicles, including an operational Demolisher. This represents an unacceptable buildup of force on this world, but also presents us with an opportunity. We have people in place prepared to steal those vehicles, but without 'Mechs providing an escort, they'll be attacked as soon as {TEAM_TAR.FactionDef.Demonym} command notices they're leaving without orders. Get the vehicles to an extraction point, and keep them intact.";"The {TEAM_TAR.FactionDef.Demonym} authorities here on {TGT_SYSTEM.name} have recently taken a shipment of military vehicles, including an operational Demolisher. This represents an unacceptable buildup of force on this world, but also presents us with an opportunity. We have people in place prepared to steal those vehicles, but without 'Mechs providing an escort, they'll be attacked as soon as {TEAM_TAR.FactionDef.Demonym} command notices they're leaving without orders. Get the vehicles to an extraction point, and keep them intact.";;;
"CaptureEscort_HostileAcquisition.contractName";"Hostile Acquisition";"Hostile Acquisition";;;
"CaptureEscort_HostileAcquisition.dialogueList0.dialogueContent0.words";"The research base is just up ahead, Commander.";"The research base is just up ahead, Commander.";;;
"CaptureEscort_HostileAcquisition.dialogueList0.dialogueContent1.words";"I'm getting a report from Sumire of hostiles moving in the area. We need to punch through and secure the base.";"I'm getting a report from Sumire of hostiles moving in the area. We need to punch through and secure the base.";;;
"CaptureEscort_HostileAcquisition.dialogueList0.dialogueContent2.words";"Once we've got the, uh, 'employees' underway, we need to keep up with them and protect them. Good luck, Commander.";"Once we've got the, uh, 'employees' underway, we need to keep up with them and protect them. Good luck, Commander.";;;
"CaptureEscort_HostileAcquisition.dialogueList1.dialogueContent0.words";"The scientists are in custody, Commander. Well done.";"The scientists are in custody, Commander. Well done.";;;
"CaptureEscort_HostileAcquisition.dialogueList2.dialogueContent0.words";"That was a slaughterhouse. Let's head home, Commander.";"That was a slaughterhouse. Let's head home, Commander.";;;
"CaptureEscort_HostileAcquisition.dialogueList3.dialogueContent0.words";"Commander. The enemy has deployed reinforcements and they are inbound. Expect increased resistance.";"Commander. The enemy has deployed reinforcements and they are inbound. Expect increased resistance.";;;
"CaptureEscort_HostileAcquisition.dialogueList4.dialogueContent0.words";"More contacts on the sensors, Commander. I guess {TEAM_TAR.FactionDef.Name} isn't happy with their people changing jobs?";"More contacts on the sensors, Commander. I guess {TEAM_TAR.FactionDef.Name} isn't happy with their people changing jobs?";;;
"CaptureEscort_HostileAcquisition.dialogueList5.dialogueContent0.words";"You've reached the extraction point for the objective vehicles. Hold there are keep them safe until we can get them out.";"You've reached the extraction point for the objective vehicles. Hold there are keep them safe until we can get them out.";;;
"CaptureEscort_HostileAcquisition.dialogueList6.dialogueContent0.words";"I've got the convoy leader on comms, Commander. They're underway. Keep up with them and keep them safe.";"I've got the convoy leader on comms, Commander. They're underway. Keep up with them and keep them safe.";;;
"CaptureEscort_HostileAcquisition.dialogueList6.dialogueContent1.words";"Keep in mind that the convoy will try to stay near you for protection. Continue advancing to get them to the extract point!";"Keep in mind that the convoy will try to stay near you for protection. Continue advancing to get them to the extract point!";;;
"CaptureEscort_HostileAcquisition.dialogueList7.dialogueContent0.words";"And they are away! The convoy is safely out of the AO. Good work, Commander. Now get your remaining forces to the second evac zone for extraction there. ";"And they are away! The convoy is safely out of the AO. Good work, Commander. Now get your remaining forces to the second evac zone for extraction there. ";;;
"CaptureEscort_HostileAcquisition.longDescription";"I'm sure that the {TEAM_EMP.FactionDef.Demonym} rep thinks they're very clever, but this kind of headhunting is serious. We should expect the enemy to shoot to kill.";"I'm sure that the {TEAM_EMP.FactionDef.Demonym} rep thinks they're very clever, but this kind of headhunting is serious. We should expect the enemy to shoot to kill.";;;
"CaptureEscort_HostileAcquisition.objectiveList0.description";"The objective to destroy the force of enemies which will try and stop the player from reaching the rally point.";"The objective to destroy the force of enemies which will try and stop the player from reaching the rally point.";;;
"CaptureEscort_HostileAcquisition.objectiveList0.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Blocking Force";"Destroy {TEAM_TAR.FactionDef.Demonym} Blocking Force";;;
"CaptureEscort_HostileAcquisition.objectiveList1.description";"Secure the Convoy Rally Point";"Secure the Convoy Rally Point";;;
"CaptureEscort_HostileAcquisition.objectiveList1.title";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";;;
"CaptureEscort_HostileAcquisition.objectiveList2.description";"The objective to destroy enemy units which will attempt to block the convoy from reaching its destination.";"The objective to destroy enemy units which will attempt to block the convoy from reaching its destination.";;;
"CaptureEscort_HostileAcquisition.objectiveList2.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";;;
"CaptureEscort_HostileAcquisition.objectiveList3.description";"Escort Friendly units to their Destination";"Escort Friendly units to their Destination";;;
"CaptureEscort_HostileAcquisition.objectiveList3.title";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";;;
"CaptureEscort_HostileAcquisition.objectiveList4.description";"Protect the all units in Convoy during Extraction, suffering no losses.";"Protect the all units in Convoy during Extraction, suffering no losses.";;;
"CaptureEscort_HostileAcquisition.objectiveList4.title";"Ensure All Convoy Units Survive";"Ensure All Convoy Units Survive";;;
"CaptureEscort_HostileAcquisition.objectiveList5.description";"Hidden Objective: Destroy hunter lance for mission complete.";"Hidden Objective: Destroy hunter lance for mission complete.";;;
"CaptureEscort_HostileAcquisition.objectiveList5.title";"Hidden Objective: Destroy hunter lance for mission complete.";"Hidden Objective: Destroy hunter lance for mission complete.";;;
"CaptureEscort_HostileAcquisition.objectiveList6.description";"The objective to escape with all the player units.";"The objective to escape with all the player units.";;;
"CaptureEscort_HostileAcquisition.objectiveList6.title";"Get to the Evac Zone";"Get to the Evac Zone";;;
"CaptureEscort_HostileAcquisition.objectiveList7.description";"USELESS OBJECTIVE";"USELESS OBJECTIVE";;;
"CaptureEscort_HostileAcquisition.objectiveList7.title";"Protect Convoy while Dropship Arrives";"Protect Convoy while Dropship Arrives";;;
"CaptureEscort_HostileAcquisition.objectiveList8.description";"USELESS OBJECTIVE";"USELESS OBJECTIVE";;;
"CaptureEscort_HostileAcquisition.objectiveList8.title";"Protect Convoy as they Embark on the Dropship";"Protect Convoy as they Embark on the Dropship";;;
"CaptureEscort_HostileAcquisition.shortDescription";"Our intelligence analysts located a well-hidden {TEAM_TAR.FactionDef.Demonym} research base on {TGT_SYSTEM.Name}. We've already pacified the base, and {TEAM_EMP.FactionDef.Name} made very firm job offers to the scientists at the facility. Almost all of them have accepted. We need to evacuate those scientists before their previous employers hear about their new positions.";"Our intelligence analysts located a well-hidden {TEAM_TAR.FactionDef.Demonym} research base on {TGT_SYSTEM.Name}. We've already pacified the base, and {TEAM_EMP.FactionDef.Name} made very firm job offers to the scientists at the facility. Almost all of them have accepted. We need to evacuate those scientists before their previous employers hear about their new positions.";;;
"CaptureEscort_ManOfThePeople.contractName";"Man of the People";"Man of the People";;;
"CaptureEscort_ManOfThePeople.dialogueList0.dialogueContent0.words";"The politician's convoy is already under fire!";"The politician's convoy is already under fire!";;;
"CaptureEscort_ManOfThePeople.dialogueList0.dialogueContent1.words";"Move to their position and provide support.";"Move to their position and provide support.";;;
"CaptureEscort_ManOfThePeople.dialogueList0.dialogueContent2.words";"Get them to safety, keep them intact, and get out of there when it's done.";"Get them to safety, keep them intact, and get out of there when it's done.";;;
"CaptureEscort_ManOfThePeople.dialogueList1.dialogueContent0.words";"Excellent work, Commander. The convoy safely reached extraction, and I have Sumire moments away from your position for a pick up. Be ready.";"Excellent work, Commander. The convoy safely reached extraction, and I have Sumire moments away from your position for a pick up. Be ready.";;;
"CaptureEscort_ManOfThePeople.dialogueList2.dialogueContent0.words";"Pack it in, Commander. Nothing left to do here.";"Pack it in, Commander. Nothing left to do here.";;;
"CaptureEscort_ManOfThePeople.dialogueList3.dialogueContent0.words";"Commander. The enemy has deployed reinforcements and they are inbound. Expect increased resistance.";"Commander. The enemy has deployed reinforcements and they are inbound. Expect increased resistance.";;;
"CaptureEscort_ManOfThePeople.dialogueList4.dialogueContent0.words";"More contacts on the sensors, Commander. Looks like {TEAM_TAR.FactionDef.Name} is sending in additional units, bound for your position.";"More contacts on the sensors, Commander. Looks like {TEAM_TAR.FactionDef.Name} is sending in additional units, bound for your position.";;;
"CaptureEscort_ManOfThePeople.dialogueList5.dialogueContent0.words";"You've reached the extraction point for the objective vehicles. Hold there are keep them safe until we can get them out.";"You've reached the extraction point for the objective vehicles. Hold there are keep them safe until we can get them out.";;;
"CaptureEscort_ManOfThePeople.dialogueList6.dialogueContent0.words";"Looks like you've secured the area around the politician's position, and they are making their way towards the extraction point now. Keep them alive!";"Looks like you've secured the area around the politician's position, and they are making their way towards the extraction point now. Keep them alive!";;;
"CaptureEscort_ManOfThePeople.dialogueList6.dialogueContent1.words";"Keep in mind that the convoy will try to stay near you for protection. Continue advancing to get them to the extract point!";"Keep in mind that the convoy will try to stay near you for protection. Continue advancing to get them to the extract point!";;;
"CaptureEscort_ManOfThePeople.dialogueList7.dialogueContent0.words";"And they are away! The convoy is safely out of the AO. Good work, Commander. Now get your remaining forces to the second evac zone for extraction there. ";"And they are away! The convoy is safely out of the AO. Good work, Commander. Now get your remaining forces to the second evac zone for extraction there. ";;;
"CaptureEscort_ManOfThePeople.longDescription";"Commander, I've chatted with this politician briefly, and he is certainly a piece of work. I suspect that his enemies may not wait until the ballot box to remove him from power.";"Commander, I've chatted with this politician briefly, and he is certainly a piece of work. I suspect that his enemies may not wait until the ballot box to remove him from power.";;;
"CaptureEscort_ManOfThePeople.objectiveList0.description";"The objective to destroy the force of enemies which will try and stop the player from reaching the rally point.";"The objective to destroy the force of enemies which will try and stop the player from reaching the rally point.";;;
"CaptureEscort_ManOfThePeople.objectiveList0.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Blocking Force";"Destroy {TEAM_TAR.FactionDef.Demonym} Blocking Force";;;
"CaptureEscort_ManOfThePeople.objectiveList1.description";"Secure the Convoy Rally Point";"Secure the Convoy Rally Point";;;
"CaptureEscort_ManOfThePeople.objectiveList1.title";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";;;
"CaptureEscort_ManOfThePeople.objectiveList2.description";"The objective to destroy enemy units which will attempt to block the convoy from reaching its destination.";"The objective to destroy enemy units which will attempt to block the convoy from reaching its destination.";;;
"CaptureEscort_ManOfThePeople.objectiveList2.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";;;
"CaptureEscort_ManOfThePeople.objectiveList3.description";"Escort Friendly units to their Destination";"Escort Friendly units to their Destination";;;
"CaptureEscort_ManOfThePeople.objectiveList3.title";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";;;
"CaptureEscort_ManOfThePeople.objectiveList4.description";"Protect the all units in Convoy during Extraction, suffering no losses.";"Protect the all units in Convoy during Extraction, suffering no losses.";;;
"CaptureEscort_ManOfThePeople.objectiveList4.title";"Ensure All Convoy Units Survive";"Ensure All Convoy Units Survive";;;
"CaptureEscort_ManOfThePeople.objectiveList5.description";"Hidden Objective: Destroy hunter lance for mission complete.";"Hidden Objective: Destroy hunter lance for mission complete.";;;
