"Blackout_DugInDeep.contractName";"Dug in Deep";"Глубоко закопанный";;"#000000";"#FFFFFF"
"DuoDuel_LastMinuteReplacements.dialogueList0.dialogueContent0.words";"Looks like those expert duelists are waiting for you. Good luck, Commander.";"Похоже, тебя ждут опытные дуэлянты. Удачи, командир.";;"#000000";"#FFFFFF"
"DuoDuel_LastMinuteReplacements.dialogueList1.dialogueContent0.words";"And down they go! Fantastic display, Commander.";"И они падают! Фантастическое зрелище, командир.";;"#000000";"#FFFFFF"
"DuoDuel_LastMinuteReplacements.dialogueList2.dialogueContent0.words";"Let's get you out of here, Commander. It couldn't be helped.";"Давай вытащим тебя отсюда, командир. Ничего не поделаешь.";;"#000000";"#FFFFFF"
"DuoDuel_LastMinuteReplacements.dialogueList3.dialogueContent0.words";"Finally! We thought you both had chickened out.";"Ну наконец то! Мы думали, вы оба струсили.";;"#000000";"#FFFFFF"
"DuoDuel_LastMinuteReplacements.longDescription";"So, pick up the mess AND give away the credit. What a raw situation. At least the MRB knows the deal.";"So, pick up the mess AND give away the credit. What a raw situation. At least the MRB knows the deal.";;"#000000";"#FFFFFF"
"DuoDuel_LastMinuteReplacements.objectiveList0.title";"Defeat the duelists";"Победите дуэлянтов";;"#000000";"#FFFFFF"
"DuoDuel_LastMinuteReplacements.shortDescription";"We're in a bit of trouble. Two of our pilots challenged two long standing {TEAM_TAR.FactionDef.Demonym} duelists to a fight. Only now our pilots are nowhere to be found. Can you step in and take their spots please? Of course, you'd have to pretend to be our pilots.";"We're in a bit of trouble. Two of our pilots challenged two long standing {TEAM_TAR.FactionDef.Name} duelists to a fight. Only now our pilots are nowhere to be found. Can you step in and take their spots please? Of course, you'd have to pretend to be our pilots.";;"#000000";"#FFFFFF"
"DuoDuel_WordsHurt.contractName";"Words Hurt";"Слова ранят";;"#000000";"#FFFFFF"
"DuoDuel_WordsHurt.dialogueList0.dialogueContent0.words";"The duelists are out there on the other side of the arena. Good luck, Commander.";"Дуэлянты на другой стороне арены. Удачи, командир.";;"#000000";"#FFFFFF"
"DuoDuel_WordsHurt.dialogueList1.dialogueContent0.words";"There we go. Issue settled. Back to the dropship, Commander.";"Вот так. Вопрос решен. Возвращайтесь к десантному кораблю, командир.";;"#000000";"#FFFFFF"
"DuoDuel_WordsHurt.dialogueList2.dialogueContent0.words";"This isn't how things should be. You shouldn't be able to repress the truth like this.";"This isn't how things should be. You shouldn't be able to repress the truth like this.";;"#000000";"#FFFFFF"
"DuoDuel_WordsHurt.dialogueList3.dialogueContent0.words";"You will retract that report. Right. Now.";"You will retract that report. Right. Now.";;"#000000";"#FFFFFF"
"DuoDuel_WordsHurt.longDescription";"I just don't know, Commander. When people say they want to 'fight' allegations it's not meant to be a real fight. This {TEAM_TAR.FactionDef.Demonym} Governor is crazy. Let's uphold the truth... for a price.";"Я не знаю, командир. Когда люди говорят, что хотят «бороться» с обвинениями, это не значает настоящую борьбу. Этот губернатор {TEAM_TAR.FactionDef.Name} псих. Давайте отстаивать правду ... за свою цену.";;"#000000";"#FFFFFF"
"DuoDuel_WordsHurt.objectiveList0.title";"Defeat the duelists";"Победите дуэлянтов";;"#000000";"#FFFFFF"
"DuoDuel_WordsHurt.shortDescription";"We've been informed by one of the largest news networks that a {TEAM_TAR.FactionDef.Demonym} Governor has taken issue with a recently released report on military fund spending irregularities. She's demanded a duel to fight those allegations. We'd like to hire you to represent and uphold that worthy news report, Commander.";"We've been informed by one of the largest news networks that a {TEAM_TAR.FactionDef.Name} Governor has taken issue with a recently released report on military fund spending irregularities. She's demanded a duel to fight those allegations. We'd like to hire you to represent and uphold that worthy news report, Commander.";;"#000000";"#FFFFFF"
"DuoDuel_YearlyTussle.contractName";"Yearly Tussle";"Yearly Tussle";;"#000000";"#FFFFFF"
"DuoDuel_YearlyTussle.dialogueList0.dialogueContent0.words";"Our employers have won this every year for the past four years. No pressure, Commander.";"Последние четрые года подряд наши работодатели побеждали. Никакого давления, командир.";;"#000000";"#FFFFFF"
"DuoDuel_YearlyTussle.dialogueList1.dialogueContent0.words";"You did it! Time to organise the party. We can't let all this go to waste!";"You did it! Time to organise the party. We can't let all this go to waste!";;"#000000";"#FFFFFF"
"DuoDuel_YearlyTussle.dialogueList2.dialogueContent0.words";"Our employers can't expect to win this every year I suppose.";"Полагаю, наши наниматели понимают, что не смогут выигрывать вечно.";;"#000000";"#FFFFFF"
"DuoDuel_YearlyTussle.dialogueList3.dialogueContent0.words";"Ready yourself, Mercs. We've got a reputation to uphold and an appetite to satisfy.";"Ready yourself, Mercs. We've got a reputation to uphold and an appetite to satisfy.";;"#000000";"#FFFFFF"
"DuoDuel_YearlyTussle.longDescription";"What do you think? Maybe we can get some of this good food and fine wine as part of the deal!";"What do you think? Maybe we can get some of this good food and fine wine as part of the deal!";;"#000000";"#FFFFFF"
"DuoDuel_YearlyTussle.objectiveList0.title";"Defeat Duelists";"Победить дуэлянтов";;"#000000";"#FFFFFF"
"DuoDuel_YearlyTussle.shortDescription";"Every year we {TEAM_EMP.FactionDef.Demonym}s in {TGT_SYSTEM.name} continue a historic procedure with the local {TEAM_TAR.FactionDef.Demonym}s. We both field mercenaries and whoever wins claims a years worth of good food and fine wines. Our usual mercenaries who help us were recently and unexpectedly wiped out by a failed jumpship jump, so we've come to you for help.";"Every year we {TEAM_EMP.FactionDef.Name}s in {TGT_SYSTEM.name} continue a historic procedure with the local {TEAM_TAR.FactionDef.Name}s. We both field mercenaries and whoever wins claims a years worth of good food and fine wines. Our usual mercenaries who help us were recently and unexpectedly wiped out by a failed jumpship jump, so we've come to you for help.";;"#000000";"#FFFFFF"
"SoloDuel_AllEyesOn.contractName";"All Eyes On";"Всё внимание на";;"#000000";"#FFFFFF"
"SoloDuel_AllEyesOn.dialogueList0.dialogueContent0.words";"Here we go, Commander.";"Поехали, командир.";;"#000000";"#FFFFFF"
"SoloDuel_AllEyesOn.dialogueList0.dialogueContent1.words";"You're all set up to be recorded and analysed. Time to show them a thing or two, Commander.";"You're all set up to be recorded and analysed. Time to show them a thing or two, Commander.";;"#000000";"#FFFFFF"
"SoloDuel_AllEyesOn.dialogueList1.dialogueContent0.words";"And there we go. I expect to see a lot more of those moves in the future. Guess we should be ready for that ourselves.";"И вот так. Я ожидаю увидеть намного больше таких шагов в будущем. Думаю, мы должны быть готовы к этому сами.";;"#000000";"#FFFFFF"
"SoloDuel_AllEyesOn.dialogueList2.dialogueContent0.words";"Let's get out of here. I guess they won't be using that data after all.";"Let's get out of here. I guess they won't be using that data after all.";;"#000000";"#FFFFFF"
"SoloDuel_AllEyesOn.longDescription";"There's worse ways to make money than influencing a whole new generation of pilot's fighting styles. Sounds fun!";"There's worse ways to make money than influencing a whole new generation of pilot's fighting styles. Sounds fun!";;"#000000";"#FFFFFF"
"SoloDuel_AllEyesOn.objectiveList0.title";"Overcome the test subject";"Overcome the test subject";;"#000000";"#FFFFFF"
"SoloDuel_AllEyesOn.shortDescription";"Commander, you've been very active. Active and successful. We're developing a new type of BattleMech simulator and we need new and improved data. Sound interesting? Good, because we want to analyse how you fight {TEAM_TAR.FactionDef.Demonym} forces. We've arranged for an ex-{TEAM_TAR.FactionDef.Demonym} pilot to fight you for a data gathering exercise. What do you say? You'll be well rewarded.";"Командир, вы были очень активны. Активны и успешны. Мы разрабатываем новый тип симулятора боевых роботов, и нам нужны новые и улучшенные данные. Звучит интересно? Хорошо, потому что мы хотим проанализировать, как вы сражаетесь с силами {TEAM_TAR.FactionDef.Name}. Мы договорились, что бывший пилот{TEAM_TAR.FactionDef.Name} будет сражаться с вами за сбор данных. Что скажешь? Вы будете хорошо вознаграждены.";;"#000000";"#FFFFFF"
"SoloDuel_ATasteForWar.contractName";"A Taste For War";"Вкус к войне";;"#000000";"#FFFFFF"
"SoloDuel_ATasteForWar.dialogueList0.dialogueContent0.words";"Here we go, Commander.";"Поехали, командир.";;"#000000";"#FFFFFF"
"SoloDuel_ATasteForWar.dialogueList0.dialogueContent1.words";"All the holo-cams are focused on you guys so put up a show but finish that {TEAM_TAR.FactionDef.Demonym} champion in style.";"Все голокамеры направлены на вас, ребята, так что устройте шоу, но добейте с шиком этого чемпиона {TEAM_TAR.FactionDef.Name}.";;"#000000";"#FFFFFF"
"SoloDuel_ATasteForWar.dialogueList1.dialogueContent0.words";"Good job, Commander! That should put to rest any doubts on our skill.";"Хорошая работа, командир! Это развееть любые сомнения в нашем мастерстве.";;"#000000";"#FFFFFF"
"SoloDuel_ATasteForWar.dialogueList2.dialogueContent0.words";"Well... at least we didn't go down without a fight. Let's hope the holo-cams got your good side, Commander.";"Well... at least we didn't go down without a fight. Let's hope the holo-cams got your good side, Commander.";;"#000000";"#FFFFFF"
"SoloDuel_ATasteForWar.longDescription";"Commander, this seems like a straight up duel. It's based in an established arena so I guess it's as good as we'll get to 'safe'.";"Командир, это похоже на честную дуэль. Она проходит на известной арене, так что я думаю, что это так же хорошо, как и безопасно.";;"#000000";"#FFFFFF"
"SoloDuel_ATasteForWar.objectiveList0.title";"Destroy Enemy Champion";"Уничтожить вражеского чемпиона";;"#000000";"#FFFFFF"
"SoloDuel_ATasteForWar.shortDescription";"A prized {TEAM_TAR.FactionDef.Demonym} Gladiator has challenged you to solo combat, Commander. The holovid rights have already been sold to the highest bidder and we've already been wired a cut. We can't turn this chance down so we hope you can't too! We'll throw in the holo-vid footage for {COMPANY.CompanyName}'s promotional vids.";"Призёр {TEAM_TAR.FactionDef.Name} Гладиатор вызвал вас на поединок, командир. Права на головид уже проданы тому, кто предложил самую высокую цену, и мы уже получили долю. Мы не можем отказаться от этого шанса, поэтому мы надеемся, что вы тоже не упустите! Мы добавим голо-вид материалы для рекламных роликов компании {COMPANY.CompanyName}.";;"#000000";"#FFFFFF"
"SoloDuel_ChallengeAccepted.contractName";"Challenge Accepted";"Вызов принят";;"#000000";"#FFFFFF"
"SoloDuel_ChallengeAccepted.dialogueList0.dialogueContent0.words";"That's the one, Commander. Take him out.";"Это тот, командир. Убери его.";;"#000000";"#FFFFFF"
"SoloDuel_ChallengeAccepted.dialogueList1.dialogueContent0.words";"Done and done. Great job, Commander. Let's go home.";"Сделано и сделано. Отличная работа, командир. Давай пойдем домой.";;"#000000";"#FFFFFF"
"SoloDuel_ChallengeAccepted.dialogueList2.dialogueContent0.words";"We're coming in to pick you up fast, Commander. Hold on. We'll sort out the political fallout from this later.";"Мы спешим за вами, командир. Держитесь. С политическими последствиями разберемся позже.";;"#000000";"#FFFFFF"
"SoloDuel_ChallengeAccepted.dialogueList3.dialogueContent0.words";"I know they said they were going to send a proxy but, a lowly Merc? What a waste of a perfectly good duel.";"Я знаю, что они сказали, что собираются отправить доверенное лицо, но наемника? Какая трата прекрасной дуэли.";;"#000000";"#FFFFFF"
"SoloDuel_ChallengeAccepted.longDescription";"No ammo left? What kind of idiot set up their supply lines. Let's clean this duel up and cash in, Commander.";"Боеприпасы кончились? Что за идиот прокладывал линии снабжения. Командир, давайте победим в дуэли и заработаем денег.";;"#000000";"#FFFFFF"
"SoloDuel_ChallengeAccepted.objectiveList0.title";"Destroy Duelist Commander";"Уничтожить командира-дуэлянта";;"#000000";"#FFFFFF"
"SoloDuel_ChallengeAccepted.shortDescription";"Over the past few weeks we've been engaged in small stage skirmishes with {TEAM_TAR.FactionDef.ShortName} in and around {TGT_SYSTEM.name}. The company commander must feel they can't continue their campaign because they've requested a duel to claim this local forward base. Little do they know that we've recently run out of supplies so we've very much taken them up on their offer. This is where you come in. We need to you win this for us, Commander.";"За последние несколько недель мы участвовали в небольших стычках с {TEAM_TAR.FactionDef.ShortName} внутри и вокруг {TGT_SYSTEM.name}. Их командир  понимает, что они не могут продолжать свою кампанию, потому они запросили дуэль, чтобы захватить эту местную передовую базу. Откуда им было знать, что у нас недавно закончились запасы, поэтому нам выгоднее это предложение. И вот тут ваш выход. Нам нужно, чтобы вы выиграли для нас, командир.";;"#000000";"#FFFFFF"
"SoloDuel_CorneredRevenge.contractName";"Cornered Revenge";"Месть в трудном положении";;"#000000";"#FFFFFF"
"SoloDuel_CorneredRevenge.dialogueList0.dialogueContent0.words";"Last time we saw Killbox she was stuck on that moon, Commander. Not sure how they got off it. Guess it doesn't matter now. Good luck!";"Last time we saw Killbox she was stuck on that moon, Commander. Not sure how they got off it. Guess it doesn't matter now. Good luck!";;"#000000";"#FFFFFF"
"SoloDuel_CorneredRevenge.dialogueList1.dialogueContent0.words";"I'm glad you got out of that in one piece, Commander. Victories like this feel hollow though.";"Я рад, что вы вышли из этого целым, командир. Однако такие победы кажутся пустыми.";;"#000000";"#FFFFFF"
"SoloDuel_CorneredRevenge.dialogueList2.dialogueContent0.words";"Killbox! We've got our lances incoming to wipe you out if you go any further. Leave now!";"Killbox! We've got our lances incoming to wipe you out if you go any further. Leave now!";;"#000000";"#FFFFFF"
"SoloDuel_CorneredRevenge.dialogueList3.dialogueContent0.words";"Never thought you'd see me again, Commander? You wouldn't if it wasn't for {TEAM_TAR.FactionDef.ShortName} helping me off that forsaken moon. I can't forgive you for what you did. Now... unlike last time - let's finish this once and for all!";"Never thought you'd see me again, Commander? You wouldn't if it wasn't for {TEAM_TAR.FactionDef.ShortName} helping me off that forsaken moon. I can't forgive you for what you did. Now... unlike last time - let's finish this once and for all!";;"#000000";"#FFFFFF"
"SoloDuel_CorneredRevenge.longDescription";"Killbox'? Haven't heard that name for a long time. Do you think she's still upset after all these years?\n----\n'Killbox'? Haven't heard that name for a long time. Do you think she's still upset after all these years?";"Killbox'? Haven't heard that name for a long time. Do you think she's still upset after all these years?";;"#000000";"#FF0000"
"SoloDuel_CorneredRevenge.objectiveList0.title";"Defeat Killbox";"Победить коробку с пушками";;"#000000";"#FFFFFF"
"SoloDuel_CorneredRevenge.shortDescription";"We have a BattleMech causing us trouble in {TGT_SYSTEM.name} who refuses to back down until you, Commander, show up and fight them in a duel. They call themselves Killbox. I don't know what their problem is with you but we'll pay you to get here and just deal with them. It's causing us a headache.";"We have a BattleMech causing us trouble in {TGT_SYSTEM.name} who refuses to back down until you, Commander, show up and fight them in a duel. They call themselves Killbox. I don't know what their problem is with you but we'll pay you to get here and just deal with them. It's causing us a headache.";;"#000000";"#FFFFFF"
"SoloDuel_LifeLesson.contractName";"Life Lesson";"Жизненый урок";;"#000000";"#FFFFFF"
"SoloDuel_LifeLesson.dialogueList0.dialogueContent0.words";"There he is, Commander.";"Вот он, командир.";;"#000000";"#FFFFFF"
"SoloDuel_LifeLesson.dialogueList0.dialogueContent1.words";"This might be a real easy job but it's a job all the same. Knock him about a bit then finish things up. His Dad will be happier than he'll be.";"Это может быть легкая работа, но все равно это работа. Поколотите его, а затем закончите дело. Его отец будет счастливее, чем он.";;"#000000";"#FFFFFF"
"SoloDuel_LifeLesson.dialogueList1.dialogueContent0.words";"He should get over his shock in a week or so, Commander. He might be sore for a bit longer.";"Он должен преодолеть шок примерно через неделю, командир. Он может болеть еще немного.";;"#000000";"#FFFFFF"
"SoloDuel_LifeLesson.dialogueList2.dialogueContent0.words";"That was unexpected, Commander. I don't think his Dad will pay up since we've just subjected him to a few years of bragging.";"Это было неожиданно, командир. Я не думаю, что его отец заплатит, так как мы обличили его двухлетнее хвастовство.";;"#000000";"#FFFFFF"
"SoloDuel_LifeLesson.dialogueList3.dialogueContent0.words";"So you're the rubbish my father is sending to train against? Just like the other servants... pitiful.";"Так ты мусор, что прислал против меня отец? Как и другие слуги... ничтожество.";;"#000000";"#FFFFFF"
"SoloDuel_LifeLesson.longDescription";"I have to hand it to this guy. At least he cares enough about his son to teach him a thing or two. Even if that means a knock on the head... or two.";"Отдать должное этому парню. По крайней мере, он достаточно заботится о своем сыне, чтобы научить его кое-чему. Даже если это означает удар по голове... или два.";;"#000000";"#FFFFFF"
"SoloDuel_LifeLesson.objectiveList0.title";"Destroy Arrogant Step-Son's Mech";"Уничтожьте мех высокомерного пасынка";;"#000000";"#FFFFFF"
"SoloDuel_LifeLesson.shortDescription";"A rich {TEAM_EMP.FactionDef.Demonym} business man has requested that we show his arrogant step-son what real fighting feels like. We thought {COMPANY.CompanyName} could help us here. Don't hold back. This father wants to teach a real life lesson - especially for his {TEAM_TAR.FactionDef.Demonym} side of the family.";"Богатый бизнесмен {TEAM_EMP.FactionDef.Name} попросил, чтобы мы показали его высокомерному пасынку, что такое настоящая борьба. Мы подумали, что {COMPANY.CompanyName} может нам здесь помочь. Не сдерживайся. Этот отец хочет преподать урок из реальной жизни - особенно для своих {TEAM_TAR.FactionDef.Name} родственников.";;"#000000";"#FFFFFF"
"SoloDuel_ProxyWar.contractName";"Proxy War";"Доверенная война";;"#000000";"#FFFFFF"
"SoloDuel_ProxyWar.dialogueList0.dialogueContent0.words";"At least we're keeping casualties down to a minimum here. Good luck, Commander.";"По крайней мере, здесь мы сводим потери к минимуму. Удачи, командир.";;"#000000";"#FFFFFF"
"SoloDuel_ProxyWar.dialogueList1.dialogueContent0.words";"Job done and we've saved some stuck up Governor their job. Time to get some rest, Commander.";"Работа сделана и мы спасли некоторых заносчивых губернаторов. Пора немного отдохнуть, командир.";;"#000000";"#FFFFFF"
"SoloDuel_ProxyWar.dialogueList2.dialogueContent0.words";"Well, they did say they weren't going to acknowledge a loss. See how that works out. Let's get you back to the dropship, Commander.";"Ну, они сказали, что не собирались признавать потерю. Посмотрим что из этого выйдет. Возвращайтесь к десантному кораблю, командир.";;"#000000";"#FFFFFF"
"SoloDuel_ProxyWar.dialogueList3.dialogueContent0.words";"In the name of {TEAM_TAR.FactionDef.ShortName} I hereby challenge you to this war for {TGT_SYSTEM.name}! To the victor the spoils!";"От имени {TEAM_TAR.FactionDef.ShortName} я призываю вас на войну за {TGT_SYSTEM.name}! Победителю достаются трофеи!";;"#000000";"#FFFFFF"
"SoloDuel_ProxyWar.longDescription";"Don't want to risk anything here?' I think they forget that we're putting our necks on the line. I suppose if the pay is good that's what we do.\n----\n'Don't want to risk anything here?' I think they forget that we're putting our necks on the line. I suppose if the pay is good that's what we do.";"Не хотят здесь рисковать ничем?' Думаю, они забывают, что это мы рискуем шеями. Я думаю, что если нам хорошо заплатят, то мы этим занимаемся.";;"#000000";"#FF0000"
"SoloDuel_ProxyWar.objectiveList0.title";"Defeat the {TEAM_TAR.FactionDef.Demonym} duelist";"Победите дуэлянта {TEAM_TAR.FactionDef.Name}";;"#000000";"#FFFFFF"
"SoloDuel_ProxyWar.shortDescription";"The Governor of {TGT_SYSTEM.name} has been challenged to a proxy war duel by a rival {TEAM_TAR.FactionDef.Demonym} Governor. We'd like you to be his proxy in this fight. If you lose, we'll just deny it was ever agreed to. We don't want to actually risk anything here.";"The Governor of {TGT_SYSTEM.name} has been challenged to a proxy war duel by a rival {TEAM_TAR.FactionDef.Name} Governor. We'd like you to be his proxy in this fight. If you lose, we'll just deny it was ever agreed to. We don't want to actually risk anything here.";;"#000000";"#FFFFFF"
