"DefendBase_BeefedUpSecurity.contractName";"Beefed Up Security";"Beefed Up Security";;;
"DefendBase_HoloVidPropaganda.shortDescription";"As part of a propaganda effort, we've been operating a secret holo-vid broadcasting facility on {TGT_SYSTEM.Name}. The clearest sign that our efforts are working is that {TEAM_TAR.FactionDef.Demonym} agents have spent months searching for the facility. Unfortunately, they've succeeded, and are launching an assault on what they believe to be an undefended installation. While our personnel prepare for evacuation and destroy all the files and documents, we need a team of mercenaries to hold off {TEAM_TAR.FactionDef.Demonym} forces.";"As part of a propaganda effort, we've been operating a secret holo-vid broadcasting facility on {TGT_SYSTEM.Name}. The clearest sign that our efforts are working is that {TEAM_TAR.FactionDef.Demonym} agents have spent months searching for the facility. Unfortunately, they've succeeded, and are launching an assault on what they believe to be an undefended installation. While our personnel prepare for evacuation and destroy all the files and documents, we need a team of mercenaries to hold off {TEAM_TAR.FactionDef.Demonym} forces.";;;
"DefendBase_MaintenanceBase.contractName";"Maintenance Base";"Maintenance Base";;;
"DefendBase_MaintenanceBase.dialogueList0.dialogueContent0.words";"Just as I predicted, Commander; this isn't going to be boring guard duty.";"Just as I predicted, Commander; this isn't going to be boring guard duty.";;;
"DefendBase_MaintenanceBase.dialogueList0.dialogueContent1.words";"We're tracking multiple incoming hostiles, and picking up {TEAM_TAR.FactionDef.Demonym} chatter.";"We're tracking multiple incoming hostiles, and picking up {TEAM_TAR.FactionDef.Demonym} chatter.";;;
"DefendBase_MaintenanceBase.dialogueList0.dialogueContent2.words";"Hang on tight, Commander. This could get ugly.";"Hang on tight, Commander. This could get ugly.";;;
"DefendBase_MaintenanceBase.dialogueList1.dialogueContent0.words";"The {TEAM_EMP.FactionDef.Demonym} reinforcements have secured the site, Commander. Good work.";"The {TEAM_EMP.FactionDef.Demonym} reinforcements have secured the site, Commander. Good work.";;;
"DefendBase_MaintenanceBase.dialogueList2.dialogueContent0.words";"This is bad, Commander. I'm pulling the plug on this mission.";"This is bad, Commander. I'm pulling the plug on this mission.";;;
"DefendBase_MaintenanceBase.dialogueList3.dialogueContent0.words";"We're in position! All engineers have disembarked from the personnel carriers. The APCs will scatter and support you. Keep the turrets online and we'll keep firing.";"We're in position! All engineers have disembarked from the personnel carriers. The APCs will scatter and support you. Keep the turrets online and we'll keep firing.";;;
"DefendBase_MaintenanceBase.dialogueList4.dialogueContent0.words";"Warning commander, sensors are reading multiple contacts approaching from multiple vectors. Looks like the attacking force has brought reinforcements. ";"Warning commander, sensors are reading multiple contacts approaching from multiple vectors. Looks like the attacking force has brought reinforcements. ";;;
"DefendBase_MaintenanceBase.dialogueList5.dialogueContent0.words";"Be advised, some of the target buildings are sustaining damage. Your mission is to keep them standing. ";"Be advised, some of the target buildings are sustaining damage. Your mission is to keep them standing. ";;;
"DefendBase_MaintenanceBase.dialogueList6.dialogueContent0.words";"Commander, a target building has been demolished. Ensure the integrity of the remaining buildings.";"Commander, a target building has been demolished. Ensure the integrity of the remaining buildings.";;;
"DefendBase_MaintenanceBase.dialogueList7.dialogueContent0.words";"Commander, we're down to just one critical structure left. If we lose it, we lose this mission. We're going to have to step it up.";"Commander, we're down to just one critical structure left. If we lose it, we lose this mission. We're going to have to step it up.";;;
"DefendBase_MaintenanceBase.dialogueList8.dialogueContent0.words";"Mercenary Commander, we've received word of the assault on your position. Reinforcements are incoming, they are about halfway there. Maintain position and you will be relieved and reinforced shortly. ";"Mercenary Commander, we've received word of the assault on your position. Reinforcements are incoming, they are about halfway there. Maintain position and you will be relieved and reinforced shortly. ";;;
"DefendBase_MaintenanceBase.dialogueList9.dialogueContent0.words";"Commander, on this outing we have some additional support from our employer.";"Commander, on this outing we have some additional support from our employer.";;;
"DefendBase_MaintenanceBase.dialogueList9.dialogueContent1.words";"They have point defenses set up around the base, but they are offline.";"They have point defenses set up around the base, but they are offline.";;;
"DefendBase_MaintenanceBase.dialogueList9.dialogueContent2.words";"We have a friendly convoy with engineers who are eager to bring them online.";"We have a friendly convoy with engineers who are eager to bring them online.";;;
"DefendBase_MaintenanceBase.dialogueList9.dialogueContent3.words";"Escort them safely to the generators and we can boost our defensive capability with those turrets.";"Escort them safely to the generators and we can boost our defensive capability with those turrets.";;;
"DefendBase_MaintenanceBase.longDescription";"You don't hire mercenaries on a whim. They know there's an attack incoming, and we're going to absorb it. Thankfully, all we need to do is hold out.";"You don't hire mercenaries on a whim. They know there's an attack incoming, and we're going to absorb it. Thankfully, all we need to do is hold out.";;;
"DefendBase_MaintenanceBase.objectiveList0.description";"Defend Base from Attackers";"Defend Base from Attackers";;;
"DefendBase_MaintenanceBase.objectiveList0.title";"Defend Maintenance Base";"Defend Maintenance Base";;;
"DefendBase_MaintenanceBase.objectiveList1.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Vanguard";"Destroy {TEAM_TAR.FactionDef.Demonym} Vanguard";;;
"DefendBase_MaintenanceBase.objectiveList2.title";"Ensure All Buildings Survive";"Ensure All Buildings Survive";;;
"DefendBase_MaintenanceBase.objectiveList3.description";"Hold Out for Reinforcements";"Hold Out for Reinforcements";;;
"DefendBase_MaintenanceBase.objectiveList3.title";"Hold Out for {TEAM_EMP.FactionDef.Demonym} Reinforcements";"Hold Out for {TEAM_EMP.FactionDef.Demonym} Reinforcements";;;
"DefendBase_MaintenanceBase.objectiveList4.description";"Escort Engineer APCs to Base Defenses in order to take control of them.";"Escort Engineer APCs to Base Defenses in order to take control of them.";;;
"DefendBase_MaintenanceBase.objectiveList4.title";"Escort Engineer APCs to Base Defenses";"Escort Engineer APCs to Base Defenses";;;
"DefendBase_MaintenanceBase.objectiveList5.title";"Baddies Inbound";"Baddies Inbound";;;
"DefendBase_MaintenanceBase.objectiveList6.description";"Hidden Objective: Destroy the Third Lance";"Hidden Objective: Destroy the Third Lance";;;
"DefendBase_MaintenanceBase.objectiveList6.title";"Hidden Objective: Destroy the Third Lance";"Hidden Objective: Destroy the Third Lance";;;
"DefendBase_MaintenanceBase.objectiveList7.title";"Baddies Inbound";"Baddies Inbound";;;
"DefendBase_MaintenanceBase.shortDescription";"We operate a repair and maintenance facility on {TGT_SYSTEM.name}. This base is critical to our operations in the system, and we suspect that {TEAM_TAR.FactionDef.Demonym} forces are going to assault the facility. We'd like you to garrison the base, and if an attack comes, hold off the assault until our forces can arrive and relieve you.";"We operate a repair and maintenance facility on {TGT_SYSTEM.name}. This base is critical to our operations in the system, and we suspect that {TEAM_TAR.FactionDef.Demonym} forces are going to assault the facility. We'd like you to garrison the base, and if an attack comes, hold off the assault until our forces can arrive and relieve you.";;;
"DefendBase_MechRepairBase.contractName";"BattleMech Repair Base";"BattleMech Repair Base";;;
"DefendBase_MechRepairBase.dialogueList0.dialogueContent0.words";"As expected, Commander, it looks like this 'security duty' is about to get hot.";"As expected, Commander, it looks like this 'security duty' is about to get hot.";;;
"DefendBase_MechRepairBase.dialogueList0.dialogueContent1.words";"We're tracking multiple incoming hostiles, unknown types.";"We're tracking multiple incoming hostiles, unknown types.";;;
"DefendBase_MechRepairBase.dialogueList0.dialogueContent2.words";"Hold the base, keep the buildings upright, and then we get paid. Oliveira out.";"Hold the base, keep the buildings upright, and then we get paid. Oliveira out.";;;
"DefendBase_MechRepairBase.dialogueList1.dialogueContent0.words";"The {TEAM_EMP.FactionDef.Demonym} reinforcements are inbound, Commander. We're done here. Good job.";"The {TEAM_EMP.FactionDef.Demonym} reinforcements are inbound, Commander. We're done here. Good job.";;;
"DefendBase_MechRepairBase.dialogueList2.dialogueContent0.words";"We're not going to be able to hold the base, Commander. Time to scrub the mission.";"We're not going to be able to hold the base, Commander. Time to scrub the mission.";;;
"DefendBase_MechRepairBase.dialogueList3.dialogueContent0.words";"We're in position! All engineers have disembarked from the personnel carriers. The APCs will scatter and support you. Keep the turrets online and we'll keep firing.";"We're in position! All engineers have disembarked from the personnel carriers. The APCs will scatter and support you. Keep the turrets online and we'll keep firing.";;;
"DefendBase_MechRepairBase.dialogueList4.dialogueContent0.words";"Warning commander, sensors are reading multiple contacts approaching from multiple vectors. Looks like the attacking force has brought reinforcements. ";"Warning commander, sensors are reading multiple contacts approaching from multiple vectors. Looks like the attacking force has brought reinforcements. ";;;
"DefendBase_MechRepairBase.dialogueList5.dialogueContent0.words";"Be advised, some of the target buildings are sustaining damage. Your mission is to keep them standing. ";"Be advised, some of the target buildings are sustaining damage. Your mission is to keep them standing. ";;;
"DefendBase_MechRepairBase.dialogueList6.dialogueContent0.words";"Commander, a target building has been demolished. Ensure the integrity of the remaining buildings.";"Commander, a target building has been demolished. Ensure the integrity of the remaining buildings.";;;
"DefendBase_MechRepairBase.dialogueList7.dialogueContent0.words";"Commander, half the base is in flames! If we lose another building, our employer's going to pull the plug on this contract.";"Commander, half the base is in flames! If we lose another building, our employer's going to pull the plug on this contract.";;;
"DefendBase_MechRepairBase.dialogueList8.dialogueContent0.words";"Mercenary Commander, we've received word of the assault on your position. Reinforcements are incoming, they are about halfway there. Maintain position and you will be relieved and reinforced shortly. ";"Mercenary Commander, we've received word of the assault on your position. Reinforcements are incoming, they are about halfway there. Maintain position and you will be relieved and reinforced shortly. ";;;
"DefendBase_MechRepairBase.dialogueList9.dialogueContent0.words";"Commander, on this outing we have some additional support from our employer.";"Commander, on this outing we have some additional support from our employer.";;;
"DefendBase_MechRepairBase.dialogueList9.dialogueContent1.words";"They have point defenses set up around the base, they are however offline.";"They have point defenses set up around the base, they are however offline.";;;
"DefendBase_MechRepairBase.dialogueList9.dialogueContent2.words";"We have a friendly convoy with engineers who are eager to get at those defenses, so they can bring them online.";"We have a friendly convoy with engineers who are eager to get at those defenses, so they can bring them online.";;;
"DefendBase_MechRepairBase.dialogueList9.dialogueContent3.words";"Escort them safely to the generators and we can boost our defensive capability with those turrets activated. Good Luck!";"Escort them safely to the generators and we can boost our defensive capability with those turrets activated. Good Luck!";;;
"DefendBase_MechRepairBase.longDescription";"They're putting us between the hammer and the anvil, Commander. A 'Mech repair facility is a juicy target.";"They're putting us between the hammer and the anvil, Commander. A 'Mech repair facility is a juicy target.";;;
"DefendBase_MechRepairBase.objectiveList0.description";"Defend Base from Attackers";"Defend Base from Attackers";;;
"DefendBase_MechRepairBase.objectiveList0.title";"Defend 'Mech Repair Base";"Defend 'Mech Repair Base";;;
"DefendBase_MechRepairBase.objectiveList1.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Vanguard";"Destroy {TEAM_TAR.FactionDef.Demonym} Vanguard";;;
"DefendBase_MechRepairBase.objectiveList2.title";"Ensure All Buildings Survive";"Ensure All Buildings Survive";;;
"DefendBase_MechRepairBase.objectiveList3.description";"Hold Out for Reinforcements";"Hold Out for Reinforcements";;;
"DefendBase_MechRepairBase.objectiveList3.title";"Hold Out for {TEAM_EMP.FactionDef.Demonym} Reinforcements";"Hold Out for {TEAM_EMP.FactionDef.Demonym} Reinforcements";;;
"DefendBase_MechRepairBase.objectiveList4.description";"Escort Engineer APCs to Base Defenses in order to take control of them.";"Escort Engineer APCs to Base Defenses in order to take control of them.";;;
"DefendBase_MechRepairBase.objectiveList4.title";"Escort Engineer APCs to Base Defenses";"Escort Engineer APCs to Base Defenses";;;
"DefendBase_MechRepairBase.objectiveList5.title";"Baddies Inbound";"Baddies Inbound";;;
"DefendBase_MechRepairBase.objectiveList6.description";"Hidden Objective: Destroy the Third Lance";"Hidden Objective: Destroy the Third Lance";;;
"DefendBase_MechRepairBase.objectiveList6.title";"Hidden Objective: Destroy the Third Lance";"Hidden Objective: Destroy the Third Lance";;;
"DefendBase_MechRepairBase.objectiveList7.title";"Baddies Inbound";"Baddies Inbound";;;
"DefendBase_MechRepairBase.shortDescription";"We operate a BattleMech repair facility on {TGT_SYSTEM.name}. This base is critical to our 'Mech operations in the system, and we believe that {TEAM_TAR.FactionDef.Demonym} forces are planning an assault. We'd like you to protect the facility, and if an attack comes, hold off the assault until our forces can arrive and relieve you.";"We operate a BattleMech repair facility on {TGT_SYSTEM.name}. This base is critical to our 'Mech operations in the system, and we believe that {TEAM_TAR.FactionDef.Demonym} forces are planning an assault. We'd like you to protect the facility, and if an attack comes, hold off the assault until our forces can arrive and relieve you.";;;
"DefendBase_Wolves.contractName";"Wolves";"Wolves";;;
"DefendBase_Wolves.dialogueList0.dialogueContent0.words";"Commander, our contracted mission is to defend this factory.";"Commander, our contracted mission is to defend this factory.";;;
"DefendBase_Wolves.dialogueList0.dialogueContent1.words";"We have scattered reports of incoming {TEAM_TAR.FactionDef.Demonym} units. These would be the 'wolves' our employer referred to.";"We have scattered reports of incoming {TEAM_TAR.FactionDef.Demonym} units. These would be the 'wolves' our employer referred to.";;;
"DefendBase_Wolves.dialogueList0.dialogueContent2.words";"All we have to do is hold them off until our employer's forces relieve us. Good luck.";"All we have to do is hold them off until our employer's forces relieve us. Good luck.";;;
"DefendBase_Wolves.dialogueList1.dialogueContent0.words";"Mission complete, Commander. I'll let our employers know their base is secure.";"Mission complete, Commander. I'll let our employers know their base is secure.";;;
"DefendBase_Wolves.dialogueList2.dialogueContent0.words";"That's unfortunate, Commander. Time to cut our losses.";"That's unfortunate, Commander. Time to cut our losses.";;;
"DefendBase_Wolves.dialogueList3.dialogueContent0.words";"The engineers are in position, Commander! The APCs will scatter and support you. Keep the turrets intact and they'll keep firing.";"The engineers are in position, Commander! The APCs will scatter and support you. Keep the turrets intact and they'll keep firing.";;;
"DefendBase_Wolves.dialogueList4.dialogueContent0.words";"Warning commander, sensors are reading multiple contacts approaching from multiple vectors. Looks like the attacking force has brought reinforcements. ";"Warning commander, sensors are reading multiple contacts approaching from multiple vectors. Looks like the attacking force has brought reinforcements. ";;;
"DefendBase_Wolves.dialogueList5.dialogueContent0.words";"Be advised, some of the target buildings are sustaining damage. Your mission is to keep them standing. ";"Be advised, some of the target buildings are sustaining damage. Your mission is to keep them standing. ";;;
"DefendBase_Wolves.dialogueList6.dialogueContent0.words";"Commander, a target building has been demolished. Ensure the integrity of the remaining buildings.";"Commander, a target building has been demolished. Ensure the integrity of the remaining buildings.";;;
"DefendBase_Wolves.dialogueList7.dialogueContent0.words";"We can't afford to lose any more buildings, Commander, or we'll be in breach of our contract obligations.";"We can't afford to lose any more buildings, Commander, or we'll be in breach of our contract obligations.";;;
"DefendBase_Wolves.dialogueList8.dialogueContent0.words";"Mercenary Commander, we've received word of the assault on your position. Reinforcements are incoming, they are about halfway there. Maintain position and you will be relieved and reinforced shortly. ";"Mercenary Commander, we've received word of the assault on your position. Reinforcements are incoming, they are about halfway there. Maintain position and you will be relieved and reinforced shortly. ";;;
"DefendBase_Wolves.dialogueList9.dialogueContent0.words";"Commander, on this outing we have some additional support from our employer.";"Commander, on this outing we have some additional support from our employer.";;;
"DefendBase_Wolves.dialogueList9.dialogueContent1.words";"They have point defenses set up around the base. They are, however, offline.";"They have point defenses set up around the base. They are, however, offline.";;;
"DefendBase_Wolves.dialogueList9.dialogueContent2.words";"We have a friendly convoy with engineers who are eager to get at those defenses and get them firing.";"We have a friendly convoy with engineers who are eager to get at those defenses and get them firing.";;;
"DefendBase_Wolves.dialogueList9.dialogueContent3.words";"Escort them safely to the generators and we can boost our defensive capabilities.";"Escort them safely to the generators and we can boost our defensive capabilities.";;;
"DefendBase_Wolves.longDescription";"Setting aside the rumors of LosTech, this contract is an excellent opportunity to take payment in 'Mech parts and salvage rights, as {TEAM_EMP.FactionDef.Demonym} MechTechs are on-site for recovery.";"Setting aside the rumors of LosTech, this contract is an excellent opportunity to take payment in 'Mech parts and salvage rights, as {TEAM_EMP.FactionDef.Demonym} MechTechs are on-site for recovery.";;;
"DefendBase_Wolves.objectiveList0.description";"Defend Base from Attackers";"Defend Base from Attackers";;;
"DefendBase_Wolves.objectiveList0.title";"Defend Target Buildings";"Defend Target Buildings";;;
"DefendBase_Wolves.objectiveList1.title";"Destroy the Enemy Vanguard";"Destroy the Enemy Vanguard";;;
"DefendBase_Wolves.objectiveList2.title";"Ensure All Buildings Survive";"Ensure All Buildings Survive";;;
"DefendBase_Wolves.objectiveList3.description";"Hold Out for Reinforcements";"Hold Out for Reinforcements";;;
"DefendBase_Wolves.objectiveList3.title";"Hold Out for Reinforcements";"Hold Out for Reinforcements";;;
"DefendBase_Wolves.objectiveList4.description";"Escort Engineer APCs to Base Defenses in order to take control of them.";"Escort Engineer APCs to Base Defenses in order to take control of them.";;;
"DefendBase_Wolves.objectiveList4.title";"Escort Engineer APCs to Base Defenses";"Escort Engineer APCs to Base Defenses";;;
"DefendBase_Wolves.objectiveList5.title";"Baddies Inbound";"Baddies Inbound";;;
"DefendBase_Wolves.objectiveList6.description";"Hidden Objective: Destroy the Third Lance";"Hidden Objective: Destroy the Third Lance";;;
"DefendBase_Wolves.objectiveList6.title";"Hidden Objective: Destroy the Third Lance";"Hidden Objective: Destroy the Third Lance";;;
"DefendBase_Wolves.objectiveList7.title";"Baddies Inbound";"Baddies Inbound";;;
"DefendBase_Wolves.shortDescription";"Our munitions factory on {TGT_SYSTEM.Name} is under threat because of a rumor about a cache of Star League equipment at the site. This malicious gossip about LosTech has brought hungry wolves to our door. We have arranged for a garrison force to be moved into place, but we need mercenary units to protect the factory until our forces arrive.";"Our munitions factory on {TGT_SYSTEM.Name} is under threat because of a rumor about a cache of Star League equipment at the site. This malicious gossip about LosTech has brought hungry wolves to our door. We have arranged for a garrison force to be moved into place, but we need mercenary units to protect the factory until our forces arrive.";;;
