"CaptureBase_DataPiracy.contractName";"Data Piracy";"Data Piracy";;;
"CaptureBase_MechFactory.dialogueList1.dialogueContent0.words";"The factory is under control, Commander, and {TEAM_EMP.FactionDef.Demonym} forces are setting up defenses. Good work.";"The factory is under control, Commander, and {TEAM_EMP.FactionDef.Demonym} forces are setting up defenses. Good work.";;;
"CaptureBase_MechFactory.dialogueList2.dialogueContent0.words";"We won't be able to take this one. Time to pull out, Commander.";"We won't be able to take this one. Time to pull out, Commander.";;;
"CaptureBase_MechFactory.dialogueList3.dialogueContent0.words";"Bogeys on sensors!";"Bogeys on sensors!";;;
"CaptureBase_MechFactory.dialogueList4.dialogueContent0.words";"[GENERIC VO] Area is not clear, Commander. Eliminate the hostiles before continuing to the next Objective.";"[GENERIC VO] Area is not clear, Commander. Eliminate the hostiles before continuing to the next Objective.";;;
"CaptureBase_MechFactory.dialogueList5.dialogueContent0.words";"[GENERIC VO] Sensors are clear, proceed to the next objective.";"[GENERIC VO] Sensors are clear, proceed to the next objective.";;;
"CaptureBase_MechFactory.dialogueList6.dialogueContent0.words";"There's the DropShip! We're going to get in and out quick!";"There's the DropShip! We're going to get in and out quick!";;;
"CaptureBase_MechFactory.dialogueList7.dialogueContent0.words";"Commander, a word of warning, we have reports this base may have gun emplacements for point defense.";"Commander, a word of warning, we have reports this base may have gun emplacements for point defense.";;;
"CaptureBase_MechFactory.dialogueList7.dialogueContent1.words";"Turrets, boss. Just keep an eye out in case they are online.";"Turrets, boss. Just keep an eye out in case they are online.";;;
"CaptureBase_MechFactory.dialogueList8.dialogueContent0.words";"For an abandoned base, it's awfully lively down there, Commander.";"For an abandoned base, it's awfully lively down there, Commander.";;;
"CaptureBase_MechFactory.dialogueList8.dialogueContent1.words";"We're getting a report that additional {TEAM_TAR.FactionDef.Demonym} reinforcements have been spotted, so expect more contact.";"We're getting a report that additional {TEAM_TAR.FactionDef.Demonym} reinforcements have been spotted, so expect more contact.";;;
"CaptureBase_MechFactory.longDescription";"Embarrassing to have an enemy stealing data right out from under your nose. I'm guessing the opfor won't have had time to get any of the facility defenses online, so at least there won't be turrets.";"Embarrassing to have an enemy stealing data right out from under your nose. I'm guessing the opfor won't have had time to get any of the facility defenses online, so at least there won't be turrets.";;;
"CaptureBase_MechFactory.objectiveList0.title";"Scout the BattleMech Factory";"Scout the BattleMech Factory";;;
"CaptureBase_MechFactory.objectiveList1.title";"Destroy the Occupying Enemy Force";"Destroy the Occupying Enemy Force";;;
"CaptureBase_MechFactory.objectiveList2.title";"Occupy the Factory";"Occupy the Factory";;;
"CaptureBase_MechFactory.objectiveList3.description";"Hidden";"Hidden";;;
"CaptureBase_MechFactory.objectiveList3.title";"Hold Factory While Reinforcements Arrive";"Hold Factory While Reinforcements Arrive";;;
"CaptureBase_MechFactory.objectiveList4.description";"This is a general objective to indicate the player must keep playing and eliminate enemies as they come.";"This is a general objective to indicate the player must keep playing and eliminate enemies as they come.";;;
"CaptureBase_MechFactory.objectiveList4.title";"Pacify the Area around the Base";"Pacify the Area around the Base";;;
"CaptureBase_MechFactory.objectiveList5.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";;;
"CaptureBase_MechFactory.objectiveList6.title";"Destroy Defensive Turrets";"Destroy Defensive Turrets";;;
"CaptureBase_MechFactory.shortDescription";"We picked up a coded transmission from the surface of {TGT_SYSTEM.name}: {TEAM_EMP.FactionDef.Demonym} scouts report a previously unknown manufacturing plant has been activated by {TEAM_TAR.FactionDef.Demonym} forces, and they're broadcasting what we believe might be pre-war blueprints to an unknown recipient somewhere in the system. We need you to move in and capture that facility, intact, and protect it while we mobilize a garrison.";"We picked up a coded transmission from the surface of {TGT_SYSTEM.name}: {TEAM_EMP.FactionDef.Demonym} scouts report a previously unknown manufacturing plant has been activated by {TEAM_TAR.FactionDef.Demonym} forces, and they're broadcasting what we believe might be pre-war blueprints to an unknown recipient somewhere in the system. We need you to move in and capture that facility, intact, and protect it while we mobilize a garrison.";;;
"CaptureBase_Pirate_Plunder.contractName";"Plunder";"Plunder";;;
"CaptureBase_Pirate_Plunder.dialogueList0.dialogueContent0.words";"The facility where the drugs are being kept is just ahead, commander.";"The facility where the drugs are being kept is just ahead, commander.";;;
"CaptureBase_Pirate_Plunder.dialogueList0.dialogueContent1.words";"From here, we should be able to get eyes on the depot and a look at its defenses.";"From here, we should be able to get eyes on the depot and a look at its defenses.";;;
"CaptureBase_Pirate_Plunder.dialogueList0.dialogueContent2.words";"Clear out any defenders, and let's secure the place and get paid.";"Clear out any defenders, and let's secure the place and get paid.";;;
"CaptureBase_Pirate_Plunder.dialogueList1.dialogueContent0.words";"The base is ours, Commander. I'll notify our friends that they can move in and pick up the cargo.";"The base is ours, Commander. I'll notify our friends that they can move in and pick up the cargo.";;;
"CaptureBase_Pirate_Plunder.dialogueList2.dialogueContent0.words";"Looks like our friends will have to find someone else to steal the cargo for them.";"Looks like our friends will have to find someone else to steal the cargo for them.";;;
"CaptureBase_Pirate_Plunder.dialogueList3.dialogueContent0.words";"Bogeys on sensors!";"Bogeys on sensors!";;;
"CaptureBase_Pirate_Plunder.dialogueList4.dialogueContent0.words";"[GENERIC VO] Area is not clear, Commander. Eliminate the hostiles before continuing to the next Objective.";"[GENERIC VO] Area is not clear, Commander. Eliminate the hostiles before continuing to the next Objective.";;;
"CaptureBase_Pirate_Plunder.dialogueList5.dialogueContent0.words";"[GENERIC VO] Sensors are clear, proceed to the next objective.";"[GENERIC VO] Sensors are clear, proceed to the next objective.";;;
"CaptureBase_Pirate_Plunder.dialogueList6.dialogueContent0.words";"Dropship inbound for landing! We're going to get in and out quick!";"Dropship inbound for landing! We're going to get in and out quick!";;;
"CaptureBase_Pirate_Plunder.dialogueList7.dialogueContent0.words";"Commander, a word of warning, we have reports this base may have gun emplacements for point defense.";"Commander, a word of warning, we have reports this base may have gun emplacements for point defense.";;;
"CaptureBase_Pirate_Plunder.dialogueList7.dialogueContent1.words";"Given what they're keeping here, I can't say I'm surprised.";"Given what they're keeping here, I can't say I'm surprised.";;;
"CaptureBase_Pirate_Plunder.dialogueList8.dialogueContent0.words";"There's the facility. Looks like it's got a single lance defending it, and... confirmed, turrets.";"There's the facility. Looks like it's got a single lance defending it, and... confirmed, turrets.";;;
"CaptureBase_Pirate_Plunder.dialogueList8.dialogueContent1.words";"We're seeing some additional units in the region, so watch for possible reinforcements.";"We're seeing some additional units in the region, so watch for possible reinforcements.";;;
"CaptureBase_Pirate_Plunder.longDescription";"Spazz is a nasty, nasty drug, Commander, but not really recreational in any way. If some MechWarrior wants to burn themself out on the stuff, that's on them.";"Spazz is a nasty, nasty drug, Commander, but not really recreational in any way. If some MechWarrior wants to burn themself out on the stuff, that's on them.";;;
"CaptureBase_Pirate_Plunder.objectiveList0.description";"The objective to scout the base that is being captured. Must be completed before the actual capture of the base.";"The objective to scout the base that is being captured. Must be completed before the actual capture of the base.";;;
"CaptureBase_Pirate_Plunder.objectiveList0.title";"Scout the Depot";"Scout the Depot";;;
"CaptureBase_Pirate_Plunder.objectiveList1.description";"The objective to optionally destroy the defenders of the base.";"The objective to optionally destroy the defenders of the base.";;;
"CaptureBase_Pirate_Plunder.objectiveList1.title";"Destroy the Enemy Force";"Destroy the Enemy Force";;;
"CaptureBase_Pirate_Plunder.objectiveList2.description";"The objective for the player to move into and capture the base.";"The objective for the player to move into and capture the base.";;;
"CaptureBase_Pirate_Plunder.objectiveList2.title";"Capture the Depot with Friendly 'Mechs";"Capture the Depot with Friendly 'Mechs";;;
"CaptureBase_Pirate_Plunder.objectiveList3.description";"HIDDEN TIMER, NO NEED TO EDIT: This is the hidden timer objective that will trigger the enemy reinforcements.";"HIDDEN TIMER, NO NEED TO EDIT: This is the hidden timer objective that will trigger the enemy reinforcements.";;;
"CaptureBase_Pirate_Plunder.objectiveList3.title";"Hold Out as Enemies Counter Attack";"Hold Out as Enemies Counter Attack";;;
"CaptureBase_Pirate_Plunder.objectiveList4.description";"This is a general objective to indicate the player must keep playing and eliminate enemies as they come.";"This is a general objective to indicate the player must keep playing and eliminate enemies as they come.";;;
"CaptureBase_Pirate_Plunder.objectiveList4.title";"Pacify the Area around the Depot";"Pacify the Area around the Depot";;;
"CaptureBase_Pirate_Plunder.objectiveList5.description";"The primary objective to destroy the force that tries to remove the player from the captured base.";"The primary objective to destroy the force that tries to remove the player from the captured base.";;;
"CaptureBase_Pirate_Plunder.objectiveList5.title";"Destroy the Enemy Reinforcements";"Destroy the Enemy Reinforcements";;;
"CaptureBase_Pirate_Plunder.objectiveList6.description";"The chunk controlled objective to destroy the turrets for the base, if the chunk is active.";"The chunk controlled objective to destroy the turrets for the base, if the chunk is active.";;;
"CaptureBase_Pirate_Plunder.objectiveList6.title";"Eliminate Depot Turrets";"Eliminate Depot Turrets";;;
"CaptureBase_Pirate_Plunder.shortDescription";"We've been following this shipment of Spazz that the {TEAM_TAR.FactionDef.Demonym} authorities here on {TGT_SYSTEM.name} intercepted. You'd think that, given all the things they say about Spazz, they'd have torched the stuff already. But instead they've locked it up in a secure depot. I'm sure they won't mind if we take that stuff off their hands. We have much better uses for it than just blowing it all up.";"We've been following this shipment of Spazz that the {TEAM_TAR.FactionDef.Demonym} authorities here on {TGT_SYSTEM.name} intercepted. You'd think that, given all the things they say about Spazz, they'd have torched the stuff already. But instead they've locked it up in a secure depot. I'm sure they won't mind if we take that stuff off their hands. We have much better uses for it than just blowing it all up.";;;
"CaptureBase_ProfessionalFacilityManagement.contractName";"Professional Facility Management";"Professional Facility Management";;;
"CaptureBase_ProfessionalFacilityManagement.dialogueList0.dialogueContent0.words";"Commander, we're in the AO. I'm seeing those turrets we were promised, but no sign of the {TEAM_TAR.FactionDef.Demonym} team that's supposed to be here.";"Commander, we're in the AO. I'm seeing those turrets we were promised, but no sign of the {TEAM_TAR.FactionDef.Demonym} team that's supposed to be here.";;;
"CaptureBase_ProfessionalFacilityManagement.dialogueList0.dialogueContent1.words";"We have to assume they're out on patrol. Commander, this position should give you a decent view of the facility and the turrets. Move up and see what we're facing.";"We have to assume they're out on patrol. Commander, this position should give you a decent view of the facility and the turrets. Move up and see what we're facing.";;;
"CaptureBase_ProfessionalFacilityManagement.dialogueList1.dialogueContent0.words";"I could do without the giant ego that mercenary seems to carry around everywhere.";"I could do without the giant ego that mercenary seems to carry around everywhere.";;;
"CaptureBase_ProfessionalFacilityManagement.dialogueList1.dialogueContent1.words";"Sorry, Sumire, I don't speak Pot <i>or</i> Kettle.";"Sorry, Sumire, I don't speak Pot <i>or</i> Kettle.";;;
"CaptureBase_ProfessionalFacilityManagement.dialogueList2.dialogueContent0.words";"Well, that was a lot more exciting than we bargained for.";"Well, that was a lot more exciting than we bargained for.";;;
"CaptureBase_ProfessionalFacilityManagement.dialogueList3.dialogueContent0.words";"Bogeys on sensors!";"Bogeys on sensors!";;;
"CaptureBase_ProfessionalFacilityManagement.dialogueList4.dialogueContent0.words";"[GENERIC VO] Area is not clear, Commander. Eliminate the hostiles before continuing to the next Objective.";"[GENERIC VO] Area is not clear, Commander. Eliminate the hostiles before continuing to the next Objective.";;;
"CaptureBase_ProfessionalFacilityManagement.dialogueList5.dialogueContent0.words";"[GENERIC VO] Sensors are clear, proceed to the next objective.";"[GENERIC VO] Sensors are clear, proceed to the next objective.";;;
"CaptureBase_ProfessionalFacilityManagement.dialogueList6.dialogueContent0.words";"Heads up, Commander; dropship inbound.";"Heads up, Commander; dropship inbound.";;;
"CaptureBase_ProfessionalFacilityManagement.dialogueList7.dialogueContent0.words";"Getting an active ping from the turrets. I'm going to get some altitude so I don't get any more bullet holes in my Leopard.";"Getting an active ping from the turrets. I'm going to get some altitude so I don't get any more bullet holes in my Leopard.";;;
"CaptureBase_ProfessionalFacilityManagement.dialogueList7.dialogueContent1.words";"We need to clear those turrets out if we're going to hold the base, Commander.";"We need to clear those turrets out if we're going to hold the base, Commander.";;;
"CaptureBase_ProfessionalFacilityManagement.dialogueList8.dialogueContent0.words";"There's the facility. Still no sign of the opfor, Meyer?";"There's the facility. Still no sign of the opfor, Meyer?";;;
"CaptureBase_ProfessionalFacilityManagement.dialogueList8.dialogueContent1.words";"I... Yeah, I've got something. Multiple engine signatures. 'Mechs, inbound to your location.";"I... Yeah, I've got something. Multiple engine signatures. 'Mechs, inbound to your location.";;;
"CaptureBase_ProfessionalFacilityManagement.dialogueList8.dialogueContent2.words";"Ah. I prefer opposition that isn't the usual local idiots. Are you local idiots? I suppose we'll find out.";"Ah. I prefer opposition that isn't the usual local idiots. Are you local idiots? I suppose we'll find out.";;;
"CaptureBase_ProfessionalFacilityManagement.dialogueList8.dialogueContent3.words";"Ha! You must be the janitor they sent to turn the lights back on.";"Ha! You must be the janitor they sent to turn the lights back on.";;;
"CaptureBase_ProfessionalFacilityManagement.dialogueList8.dialogueContent4.words";"I prefer to think of myself as a facility management professional.";"I prefer to think of myself as a facility management professional.";;;
"CaptureBase_ProfessionalFacilityManagement.longDescription";"Turrets always make things more complicated, but this seems like a pretty routine operation, Commander.";"Turrets always make things more complicated, but this seems like a pretty routine operation, Commander.";;;
"CaptureBase_ProfessionalFacilityManagement.objectiveList0.description";"The objective to scout the base that is being captured. Must be completed before the actual capture of the base.";"The objective to scout the base that is being captured. Must be completed before the actual capture of the base.";;;
"CaptureBase_ProfessionalFacilityManagement.objectiveList0.title";"Scout the Base";"Scout the Base";;;
"CaptureBase_ProfessionalFacilityManagement.objectiveList1.description";"The objective to optionally destroy the defenders of the base.";"The objective to optionally destroy the defenders of the base.";;;
"CaptureBase_ProfessionalFacilityManagement.objectiveList1.title";"Destroy the Enemy Force";"Destroy the Enemy Force";;;
"CaptureBase_ProfessionalFacilityManagement.objectiveList2.description";"The objective for the player to move into and capture the base.";"The objective for the player to move into and capture the base.";;;
"CaptureBase_ProfessionalFacilityManagement.objectiveList2.title";"Capture the Base with Friendly 'Mechs";"Capture the Base with Friendly 'Mechs";;;
"CaptureBase_ProfessionalFacilityManagement.objectiveList3.description";"HIDDEN TIMER, NO NEED TO EDIT: This is the hidden timer objective that will trigger the enemy reinforcements.";"HIDDEN TIMER, NO NEED TO EDIT: This is the hidden timer objective that will trigger the enemy reinforcements.";;;
"CaptureBase_ProfessionalFacilityManagement.objectiveList3.title";"Hold Out as Enemies Counter Attack";"Hold Out as Enemies Counter Attack";;;
"CaptureBase_ProfessionalFacilityManagement.objectiveList4.description";"This is a general objective to indicate the player must keep playing and eliminate enemies as they come.";"This is a general objective to indicate the player must keep playing and eliminate enemies as they come.";;;
"CaptureBase_ProfessionalFacilityManagement.objectiveList4.title";"Pacify the Area around the Base";"Pacify the Area around the Base";;;
"CaptureBase_ProfessionalFacilityManagement.objectiveList5.description";"The primary objective to destroy the force that tries to remove the player from the captured base.";"The primary objective to destroy the force that tries to remove the player from the captured base.";;;
"CaptureBase_ProfessionalFacilityManagement.objectiveList5.title";"Destroy the Enemy Reinforcements";"Destroy the Enemy Reinforcements";;;
"CaptureBase_ProfessionalFacilityManagement.objectiveList6.description";"The chunk controlled objective to destroy the turrets for the base, if the chunk is active.";"The chunk controlled objective to destroy the turrets for the base, if the chunk is active.";;;
"CaptureBase_ProfessionalFacilityManagement.objectiveList6.title";"Eliminate Base Turrets";"Eliminate Base Turrets";;;
"CaptureBase_ProfessionalFacilityManagement.shortDescription";"Fifteen years ago we lost track of a facility here on {TGT_SYSTEM.name}, and {TEAM_EMP.FactionDef.Demonym} intelligence believed it had been permanently shut down. A month ago, an orbiting spy satellite picked up signs that the facility had been brought back online. Our current guess is that a {TEAM_TAR.FactionDef.Demonym} team was dispatched to bring the base back up to operational capacity. We'd rather not have sensitive radar backed by armed turrets and flak batteries aimed at the skies of {TGT_SYSTEM.name}. We'd like you to clear their team out and hold the facility while our own people land to scour it for useful intel.";"Fifteen years ago we lost track of a facility here on {TGT_SYSTEM.name}, and {TEAM_EMP.FactionDef.Demonym} intelligence believed it had been permanently shut down. A month ago, an orbiting spy satellite picked up signs that the facility had been brought back online. Our current guess is that a {TEAM_TAR.FactionDef.Demonym} team was dispatched to bring the base back up to operational capacity. We'd rather not have sensitive radar backed by armed turrets and flak batteries aimed at the skies of {TGT_SYSTEM.name}. We'd like you to clear their team out and hold the facility while our own people land to scour it for useful intel.";;;
"CaptureBase_PullingLinchpins.contractName";"Pulling Linchpins";"Pulling Linchpins";;;
"CaptureBase_PullingLinchpins.dialogueList0.dialogueContent0.words";"We're here to capture the {TEAM_TAR.FactionDef.Demonym} military Outpost.";"We're here to capture the {TEAM_TAR.FactionDef.Demonym} military Outpost.";;;
"CaptureBase_PullingLinchpins.dialogueList0.dialogueContent1.words";"Let's get our forces to a position where we can better observe the enemy movements, and perhaps get eye on the facility.";"Let's get our forces to a position where we can better observe the enemy movements, and perhaps get eye on the facility.";;;
"CaptureBase_PullingLinchpins.dialogueList0.dialogueContent2.words";"Eliminate opposition and take control of the territory, Commander.";"Eliminate opposition and take control of the territory, Commander.";;;
"CaptureBase_PullingLinchpins.dialogueList1.dialogueContent0.words";"The Outpost is under our control, Commander.";"The Outpost is under our control, Commander.";;;
"CaptureBase_PullingLinchpins.dialogueList1.dialogueContent1.words";"We're ready to send in the extraction ships.";"We're ready to send in the extraction ships.";;;
"CaptureBase_PullingLinchpins.dialogueList1.dialogueContent2.words";"Sit tight. {TEAM_EMP.FactionDef.ShortName} should be pleased with the results.";"Sit tight. {TEAM_EMP.FactionDef.ShortName} should be pleased with the results.";;;
"CaptureBase_PullingLinchpins.dialogueList2.dialogueContent0.words";"We won't be able to take this one. Pack it in, Commander.";"We won't be able to take this one. Pack it in, Commander.";;;
"CaptureBase_PullingLinchpins.dialogueList3.dialogueContent0.words";"Bogeys on sensors!";"Bogeys on sensors!";;;
"CaptureBase_PullingLinchpins.dialogueList4.dialogueContent0.words";"[GENERIC VO] Area is not clear, Commander. Eliminate the hostiles before continuing to the next Objective.";"[GENERIC VO] Area is not clear, Commander. Eliminate the hostiles before continuing to the next Objective.";;;
"CaptureBase_PullingLinchpins.dialogueList5.dialogueContent0.words";"[GENERIC VO] Sensors are clear, proceed to the next objective.";"[GENERIC VO] Sensors are clear, proceed to the next objective.";;;
"CaptureBase_PullingLinchpins.dialogueList6.dialogueContent0.words";"Dropship inbound for landing!";"Dropship inbound for landing!";;;
"CaptureBase_PullingLinchpins.dialogueList7.dialogueContent0.words";"Commander, a word of warning, we have reports this base may have gun emplacements for point defense.";"Commander, a word of warning, we have reports this base may have gun emplacements for point defense.";;;
"CaptureBase_PullingLinchpins.dialogueList7.dialogueContent1.words";"Turrets, boss. Just keep an eye out in case they are online.";"Turrets, boss. Just keep an eye out in case they are online.";;;
"CaptureBase_PullingLinchpins.dialogueList8.dialogueContent0.words";"Alright, you should have good view of the Outpost now.";"Alright, you should have good view of the Outpost now.";;;
"CaptureBase_PullingLinchpins.dialogueList8.dialogueContent1.words";"Be careful of additional forces inbound. Our employer says they softened up them up a bit, but now they're rallying back at the Outpost. Expect contact.";"Be careful of additional forces inbound. Our employer says they softened up them up a bit, but now they're rallying back at the Outpost. Expect contact.";;;
"CaptureBase_PullingLinchpins.longDescription";"Commander, the {TEAM_EMP.FactionDef.Demonym} plan is sound, as long as we're okay with intentionally setting up an ambush on ourselves.";"Commander, the {TEAM_EMP.FactionDef.Demonym} plan is sound, as long as we're okay with intentionally setting up an ambush on ourselves.";;;
"CaptureBase_PullingLinchpins.objectiveList0.title";"Scout the Military Outpost";"Scout the Military Outpost";;;
"CaptureBase_PullingLinchpins.objectiveList1.title";"Destroy the {TEAM_TAR.FactionDef.Demonym} Forces";"Destroy the {TEAM_TAR.FactionDef.Demonym} Forces";;;
"CaptureBase_PullingLinchpins.objectiveList2.title";"Occupy the Military Outpost";"Occupy the Military Outpost";;;
"CaptureBase_PullingLinchpins.objectiveList3.description";"Hidden";"Hidden";;;
"CaptureBase_PullingLinchpins.objectiveList3.title";"Hold the Outpost while Reinforcements Arrive";"Hold the Outpost while Reinforcements Arrive";;;
"CaptureBase_PullingLinchpins.objectiveList4.description";"This is a general objective to indicate the player must keep playing and eliminate enemies as they come.";"This is a general objective to indicate the player must keep playing and eliminate enemies as they come.";;;
"CaptureBase_PullingLinchpins.objectiveList4.title";"Pacify the Area around the Base";"Pacify the Area around the Base";;;
"CaptureBase_PullingLinchpins.objectiveList5.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";;;
"CaptureBase_PullingLinchpins.objectiveList6.title";"Destroy Defensive Turrets";"Destroy Defensive Turrets";;;
"CaptureBase_PullingLinchpins.shortDescription";"We've recently discovered a {TEAM_TAR.FactionDef.Demonym} military outpost in an extremely inconvenient location, strangling trade and movement for our personnel in the area. Your mission: eliminate enemy defenses, then capture and hold the base long enough for {TEAM_EMP.FactionDef.Demonym} forces to take possession. We'll support your action by drawing off some of the defenders ahead of time, so if these units retreat to the base, they'll already be weakened by our troops.";"We've recently discovered a {TEAM_TAR.FactionDef.Demonym} military outpost in an extremely inconvenient location, strangling trade and movement for our personnel in the area. Your mission: eliminate enemy defenses, then capture and hold the base long enough for {TEAM_EMP.FactionDef.Demonym} forces to take possession. We'll support your action by drawing off some of the defenders ahead of time, so if these units retreat to the base, they'll already be weakened by our troops.";;;
"CaptureBase_StealThePrototype.contractName";"Steal the Prototype";"Steal the Prototype";;;
"CaptureBase_StealThePrototype.dialogueList0.dialogueContent0.words";"Commander, this is the location provided by our employers.";"Commander, this is the location provided by our employers.";;;
"CaptureBase_StealThePrototype.dialogueList0.dialogueContent1.words";"Let's get our forces to a position where we can better observe the enemy movements, and get eyes on the base.";"Let's get our forces to a position where we can better observe the enemy movements, and get eyes on the base.";;;
"CaptureBase_StealThePrototype.dialogueList0.dialogueContent2.words";"Once we have a better picture of the situation, eliminate any defending forces and move into the base.";"Once we have a better picture of the situation, eliminate any defending forces and move into the base.";;;
"CaptureBase_StealThePrototype.dialogueList1.dialogueContent0.words";"The Research Facility is ours, Commander; {TEAM_EMP.FactionDef.ShortName} will be pleased to have this prototype in their hands.";"The Research Facility is ours, Commander; {TEAM_EMP.FactionDef.ShortName} will be pleased to have this prototype in their hands.";;;
"CaptureBase_StealThePrototype.dialogueList2.dialogueContent0.words";"We won't be able to take this one. I'm pulling us out, Commander.";"We won't be able to take this one. I'm pulling us out, Commander.";;;
"CaptureBase_StealThePrototype.dialogueList3.dialogueContent0.words";"Bogeys on sensors!";"Bogeys on sensors!";;;
"CaptureBase_StealThePrototype.dialogueList4.dialogueContent0.words";"[GENERIC VO] Area is not clear, Commander. Eliminate the hostiles before continuing to the next Objective.";"[GENERIC VO] Area is not clear, Commander. Eliminate the hostiles before continuing to the next Objective.";;;
"CaptureBase_StealThePrototype.dialogueList5.dialogueContent0.words";"[GENERIC VO] Sensors are clear, proceed to the next objective.";"[GENERIC VO] Sensors are clear, proceed to the next objective.";;;
"CaptureBase_StealThePrototype.dialogueList6.dialogueContent0.words";"Dropship inbound for landing! We're going to get in and out quick!";"Dropship inbound for landing! We're going to get in and out quick!";;;
"CaptureBase_StealThePrototype.dialogueList7.dialogueContent0.words";"Commander, a word of warning: we have reports this base may have gun emplacements for point defense.";"Commander, a word of warning: we have reports this base may have gun emplacements for point defense.";;;
"CaptureBase_StealThePrototype.dialogueList7.dialogueContent1.words";"Turrets, boss. Just keep an eye out in case they are online.";"Turrets, boss. Just keep an eye out in case they are online.";;;
"CaptureBase_StealThePrototype.dialogueList8.dialogueContent0.words";"All right, you should have good view of the Research Facility now.";"All right, you should have good view of the Research Facility now.";;;
"CaptureBase_StealThePrototype.dialogueList8.dialogueContent1.words";"We're picking up additional units in the area that are rallying to engage you. So keep your eyes open.";"We're picking up additional units in the area that are rallying to engage you. So keep your eyes open.";;;
"CaptureBase_StealThePrototype.longDescription";"Commander, I expect the defenses on the facility to be substantial. But if we were bothered by the odds, we wouldn't be mercenaries.";"Commander, I expect the defenses on the facility to be substantial. But if we were bothered by the odds, we wouldn't be mercenaries.";;;
"CaptureBase_StealThePrototype.objectiveList0.title";"Scout the Research Facility";"Scout the Research Facility";;;
"CaptureBase_StealThePrototype.objectiveList1.title";"Destroy the Defending Forces";"Destroy the Defending Forces";;;
"CaptureBase_StealThePrototype.objectiveList2.title";"Occupy the Facility";"Occupy the Facility";;;
"CaptureBase_StealThePrototype.objectiveList3.description";"Hidden";"Hidden";;;
"CaptureBase_StealThePrototype.objectiveList3.title";"Hold the Facility While Reinforcements Arrive";"Hold the Facility While Reinforcements Arrive";;;
"CaptureBase_StealThePrototype.objectiveList4.description";"This is a general objective to indicate the player must keep playing and eliminate enemies as they come.";"This is a general objective to indicate the player must keep playing and eliminate enemies as they come.";;;
"CaptureBase_StealThePrototype.objectiveList4.title";"Pacify the Area Around the Base";"Pacify the Area Around the Base";;;
"CaptureBase_StealThePrototype.objectiveList5.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";;;
"CaptureBase_StealThePrototype.objectiveList6.title";"Destroy Defensive Turrets";"Destroy Defensive Turrets";;;
"CaptureBase_StealThePrototype.shortDescription";"We've learned that {TEAM_TAR.FactionDef.Name} here in {TGT_SYSTEM.name} has been busy working on a new water filtration technology, which is both extremely valuable and likely to shift the balance of power in the region by opening up more worlds for colonization. We've discovered where they're working on the latest prototype. We know that they are monitoring the location of our own 'Mechs in the area, so we need a mercenary lance to make the vanguard assault and catch them by surprise. We'll then take over the facility with {TEAM_EMP.FactionDef.Demonym} forces.";"We've learned that {TEAM_TAR.FactionDef.Name} here in {TGT_SYSTEM.name} has been busy working on a new water filtration technology, which is both extremely valuable and likely to shift the balance of power in the region by opening up more worlds for colonization. We've discovered where they're working on the latest prototype. We know that they are monitoring the location of our own 'Mechs in the area, so we need a mercenary lance to make the vanguard assault and catch them by surprise. We'll then take over the facility with {TEAM_EMP.FactionDef.Demonym} forces.";;;
"CaptureBase_SurveillanceOutpost_Hard.contractName";"Covert Surveillance";"Covert Surveillance";;;
"CaptureBase_SurveillanceOutpost_Hard.dialogueList0.dialogueContent0.words";"These are the coordinates we received from {TEAM_EMP.FactionDef.Demonym} intelligence.";"These are the coordinates we received from {TEAM_EMP.FactionDef.Demonym} intelligence.";;;
"CaptureBase_SurveillanceOutpost_Hard.dialogueList0.dialogueContent1.words";"Move into position to survey the outpost, and let's figure out what we're dealing with here.";"Move into position to survey the outpost, and let's figure out what we're dealing with here.";;;
"CaptureBase_SurveillanceOutpost_Hard.dialogueList0.dialogueContent2.words";"Good luck, Commander. Oliveira out.";"Good luck, Commander. Oliveira out.";;;
"CaptureBase_SurveillanceOutpost_Hard.dialogueList1.dialogueContent0.words";"The outpost is ours, Commander. Our employer has agents inbound to take possession of the data archives.";"The outpost is ours, Commander. Our employer has agents inbound to take possession of the data archives.";;;
"CaptureBase_SurveillanceOutpost_Hard.dialogueList2.dialogueContent0.words";"I think we're done here, Commander. What a mess.";"I think we're done here, Commander. What a mess.";;;
"CaptureBase_SurveillanceOutpost_Hard.dialogueList3.dialogueContent0.words";"Bogeys on sensors!";"Bogeys on sensors!";;;
"CaptureBase_SurveillanceOutpost_Hard.dialogueList4.dialogueContent0.words";"[GENERIC VO] Area is not clear, Commander. Eliminate the hostiles before continuing to the next Objective.";"[GENERIC VO] Area is not clear, Commander. Eliminate the hostiles before continuing to the next Objective.";;;
"CaptureBase_SurveillanceOutpost_Hard.dialogueList5.dialogueContent0.words";"[GENERIC VO] Sensors are clear, proceed to the next objective.";"[GENERIC VO] Sensors are clear, proceed to the next objective.";;;
