"DefendBase_AllQuiet_NEW.contractName";"All Quiet On The Western Front";"All Quiet On The Western Front";;;
"DefendBase_GarrisonDuty.dialogueList9.dialogueContent2.words";"We have a friendly convoy with engineers who are eager to get at those defenses, so they can bring them online.";"We have a friendly convoy with engineers who are eager to get at those defenses, so they can bring them online.";;;
"DefendBase_GarrisonDuty.dialogueList9.dialogueContent3.words";"Escort them safely to the generators and we can boost our defensive capability with those turrets activated. Good Luck!";"Escort them safely to the generators and we can boost our defensive capability with those turrets activated. Good Luck!";;;
"DefendBase_GarrisonDuty.longDescription";"Commander, while there's a lot of fighting in the region, the supply depot is well behind the current front lines. I can't help but be suspicious about their 'no intel' claim.";"Commander, while there's a lot of fighting in the region, the supply depot is well behind the current front lines. I can't help but be suspicious about their 'no intel' claim.";;;
"DefendBase_GarrisonDuty.objectiveList0.title";"Defend {TEAM_EMP.FactionDef.Demonym} Supply Buildings";"Defend {TEAM_EMP.FactionDef.Demonym} Supply Buildings";;;
"DefendBase_GarrisonDuty.objectiveList1.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Vanguard";"Destroy {TEAM_TAR.FactionDef.Demonym} Vanguard";;;
"DefendBase_GarrisonDuty.objectiveList2.title";"Ensure All Buildings Survive";"Ensure All Buildings Survive";;;
"DefendBase_GarrisonDuty.objectiveList3.title";"Hold Out for Reinforcements";"Hold Out for Reinforcements";;;
"DefendBase_GarrisonDuty.objectiveList4.title";"Escort friendly vehicles to Base Defenses";"Escort friendly vehicles to Base Defenses";;;
"DefendBase_GarrisonDuty.objectiveList5.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";;;
"DefendBase_GarrisonDuty.objectiveList6.description";"Hidden Objective: Destroy the Third Lance";"Hidden Objective: Destroy the Third Lance";;;
"DefendBase_GarrisonDuty.objectiveList6.title";"Hidden Objective: Destroy the Third Lance";"Hidden Objective: Destroy the Third Lance";;;
"DefendBase_GarrisonDuty.objectiveList7.title";"Baddies Inbound";"Baddies Inbound";;;
"DefendBase_GarrisonDuty.shortDescription";"We have a centralized supply depot here in {TGT_SYSTEM.name}, located to support multiple fronts of hostile action. With so many troops elsewhere, we're looking for a lance of Mercs to babysit our outpost. We have no intel that suggests a specific threat, but better to be certain.";"We have a centralized supply depot here in {TGT_SYSTEM.name}, located to support multiple fronts of hostile action. With so many troops elsewhere, we're looking for a lance of Mercs to babysit our outpost. We have no intel that suggests a specific threat, but better to be certain.";;;
"DefendBase_Pirate_Stockpile.contractName";"Stockpile";"Stockpile";;;
"DefendBase_Pirate_Stockpile.dialogueList0.dialogueContent0.words";"Attention, pirate scum: you are in violation of {TGT_SYSTEM.name} regulations on the sale and possession of deadly weaponry.";"Attention, pirate scum: you are in violation of {TGT_SYSTEM.name} regulations on the sale and possession of deadly weaponry.";;;
"DefendBase_Pirate_Stockpile.dialogueList0.dialogueContent1.words";"Military force has been authorized against your facility. Withdraw immediately or be destroyed.";"Military force has been authorized against your facility. Withdraw immediately or be destroyed.";;;
"DefendBase_Pirate_Stockpile.dialogueList0.dialogueContent2.words";"I suppose that doesn't leave a lot of room for negotiations.";"I suppose that doesn't leave a lot of room for negotiations.";;;
"DefendBase_Pirate_Stockpile.dialogueList1.dialogueContent0.words";"Commander, the weapons are safely away. We're done here.";"Commander, the weapons are safely away. We're done here.";;;
"DefendBase_Pirate_Stockpile.dialogueList2.dialogueContent0.words";"Dammit. We're going to have to withdraw, Commander.";"Dammit. We're going to have to withdraw, Commander.";;;
"DefendBase_Pirate_Stockpile.dialogueList3.dialogueContent0.words";"We're in position! All engineers have disembarked from the Personal carriers. The APCs will scatter and support you, keep the Turrets online and we'll keep firing.";"We're in position! All engineers have disembarked from the Personal carriers. The APCs will scatter and support you, keep the Turrets online and we'll keep firing.";;;
"DefendBase_Pirate_Stockpile.dialogueList4.dialogueContent0.words";"Warning commander, sensors are reading multiple contacts approaching from multiple vectors. Looks like the attacking force has brought reinforcements. ";"Warning commander, sensors are reading multiple contacts approaching from multiple vectors. Looks like the attacking force has brought reinforcements. ";;;
"DefendBase_Pirate_Stockpile.dialogueList5.dialogueContent0.words";"Be advised, some of the target buildings are sustaining damage. Your mission is to keep them standing. ";"Be advised, some of the target buildings are sustaining damage. Your mission is to keep them standing. ";;;
"DefendBase_Pirate_Stockpile.dialogueList6.dialogueContent0.words";"Commander, a target building has been demolished. Ensure the integrity of the remaining buildings.";"Commander, a target building has been demolished. Ensure the integrity of the remaining buildings.";;;
"DefendBase_Pirate_Stockpile.dialogueList7.dialogueContent0.words";"That's almost all the storage buildings down, Commander. If we lose another, our employers won't get any of their guns out of here.";"That's almost all the storage buildings down, Commander. If we lose another, our employers won't get any of their guns out of here.";;;
"DefendBase_Pirate_Stockpile.dialogueList8.dialogueContent0.words";"Mercenary Commander, we've received word of the assault on your position. Reinforcements are incoming, they are about halfway there. Maintain position and you will be relieved and reinforced shortly. ";"Mercenary Commander, we've received word of the assault on your position. Reinforcements are incoming, they are about halfway there. Maintain position and you will be relieved and reinforced shortly. ";;;
"DefendBase_Pirate_Stockpile.dialogueList9.dialogueContent0.words";"Commander, on this outing we have some additional support from our employer.";"Commander, on this outing we have some additional support from our employer.";;;
"DefendBase_Pirate_Stockpile.dialogueList9.dialogueContent1.words";"They have point defenses set up around the base, they are however offline.";"They have point defenses set up around the base, they are however offline.";;;
"DefendBase_Pirate_Stockpile.dialogueList9.dialogueContent2.words";"We have a friendly convoy with engineers who are eager to get at those defenses, so they can bring them online.";"We have a friendly convoy with engineers who are eager to get at those defenses, so they can bring them online.";;;
"DefendBase_Pirate_Stockpile.dialogueList9.dialogueContent3.words";"Escort them safely to the generators and we can boost our defensive capability with those turrets activated. Good Luck!";"Escort them safely to the generators and we can boost our defensive capability with those turrets activated. Good Luck!";;;
"DefendBase_Pirate_Stockpile.longDescription";"I can't imagine any use for those guns in this system that isn't bad, but I suppose that's to be expected.";"I can't imagine any use for those guns in this system that isn't bad, but I suppose that's to be expected.";;;
"DefendBase_Pirate_Stockpile.objectiveList0.description";"Defend Targeted Base Structures from Attackers";"Defend Targeted Base Structures from Attackers";;;
"DefendBase_Pirate_Stockpile.objectiveList0.title";"Defend Target Buildings";"Defend Target Buildings";;;
"DefendBase_Pirate_Stockpile.objectiveList1.description";"Destroy the enemy vanguard force, the first wave.";"Destroy the enemy vanguard force, the first wave.";;;
"DefendBase_Pirate_Stockpile.objectiveList1.title";"Destroy the Enemy Vanguard";"Destroy the Enemy Vanguard";;;
"DefendBase_Pirate_Stockpile.objectiveList2.description";"Optional objective to keep ALL target structures intact.";"Optional objective to keep ALL target structures intact.";;;
"DefendBase_Pirate_Stockpile.objectiveList2.title";"Defend ALL Target Buildings from Destruction";"Defend ALL Target Buildings from Destruction";;;
"DefendBase_Pirate_Stockpile.objectiveList3.description";"Objective for tracking the time left in the mission. While the player it told to Hold Out for Reinforcements";"Objective for tracking the time left in the mission. While the player it told to Hold Out for Reinforcements";;;
"DefendBase_Pirate_Stockpile.objectiveList3.title";"Hold Out for Reinforcements";"Hold Out for Reinforcements";;;
"DefendBase_Pirate_Stockpile.objectiveList4.description";"Escort Engineer APCs to Base Defenses in order to take control of them.";"Escort Engineer APCs to Base Defenses in order to take control of them.";;;
"DefendBase_Pirate_Stockpile.objectiveList4.title";"Escort Engineer APCs to Base Defenses";"Escort Engineer APCs to Base Defenses";;;
"DefendBase_Pirate_Stockpile.objectiveList5.description";"Hidden Objective: Destroy the Second Lance";"Hidden Objective: Destroy the Second Lance";;;
"DefendBase_Pirate_Stockpile.objectiveList5.title";"Hidden Objective: Destroy the Second Lance";"Hidden Objective: Destroy the Second Lance";;;
"DefendBase_Pirate_Stockpile.objectiveList6.description";"Hidden Objective: Destroy the Third Lance";"Hidden Objective: Destroy the Third Lance";;;
"DefendBase_Pirate_Stockpile.objectiveList6.title";"Hidden Objective: Destroy the Third Lance";"Hidden Objective: Destroy the Third Lance";;;
"DefendBase_Pirate_Stockpile.objectiveList7.title";"Baddies Inbound";"Baddies Inbound";;;
"DefendBase_Pirate_Stockpile.shortDescription";"Somehow, the {TEAM_TAR.FactionDef.Demonym} authorities have discovered one of our storehouses. If it were just drugs or stolen goods, we'd let them seize it and write it off as a loss. But it's a weapons stockpile, and those damn things are hard to move from one system to another. We'd like you to protect our guns while our people load them onto transports and we evacuate them.";"Somehow, the {TEAM_TAR.FactionDef.Demonym} authorities have discovered one of our storehouses. If it were just drugs or stolen goods, we'd let them seize it and write it off as a loss. But it's a weapons stockpile, and those damn things are hard to move from one system to another. We'd like you to protect our guns while our people load them onto transports and we evacuate them.";;;
"DefendBase_TitanAttack.contractName";"Titan Attack";"Titan Attack";;;
"DefendBase_TitanAttack.dialogueList0.dialogueContent0.words";"Meyer, are you picking up that assault 'Mech they said would be here?";"Meyer, are you picking up that assault 'Mech they said would be here?";;;
"DefendBase_TitanAttack.dialogueList0.dialogueContent1.words";"No, I'm-- wait, there it is. Shit, that's big. How the hell are we supposed to keep <i>that</i> from blowing shit up?";"No, I'm-- wait, there it is. Shit, that's big. How the hell are we supposed to keep <i>that</i> from blowing shit up?";;;
"DefendBase_TitanAttack.dialogueList0.dialogueContent2.words";"Engage it and keep it firing at our people, instead of the buildings.";"Engage it and keep it firing at our people, instead of the buildings.";;;
"DefendBase_TitanAttack.dialogueList0.dialogueContent3.words";"I just wanna go on the record here: that's a terrible plan, and you're going to break my 'Mechs.";"I just wanna go on the record here: that's a terrible plan, and you're going to break my 'Mechs.";;;
"DefendBase_TitanAttack.dialogueList1.dialogueContent0.words";"I'm not happy with this, boss. It could have been worse, but let's not take contracts where you use my 'Mechs as punching bags?";"I'm not happy with this, boss. It could have been worse, but let's not take contracts where you use my 'Mechs as punching bags?";;;
"DefendBase_TitanAttack.dialogueList1.dialogueContent1.words";"Noted, Yang.";"Noted, Yang.";;;
"DefendBase_TitanAttack.dialogueList1.dialogueContent2.words";"Yang, you do realize that getting shot at is... kinda part of the job description?";"Yang, you do realize that getting shot at is... kinda part of the job description?";;;
"DefendBase_TitanAttack.dialogueList2.dialogueContent0.words";"What a damn disaster. Let's debrief back in orbit.";"What a damn disaster. Let's debrief back in orbit.";;;
"DefendBase_TitanAttack.dialogueList3.dialogueContent0.words";"Argo, my engineers are powering the turrets up now. The APCs will scatter and provide support.";"Argo, my engineers are powering the turrets up now. The APCs will scatter and provide support.";;;
"DefendBase_TitanAttack.dialogueList3.dialogueContent1.words";"Roger, local command. Commander, looks like we have a few more guns on our side.";"Roger, local command. Commander, looks like we have a few more guns on our side.";;;
"DefendBase_TitanAttack.dialogueList4.dialogueContent0.words";"Warning commander, sensors are reading multiple contacts approaching from multiple vectors. Looks like the attacking force has brought reinforcements. ";"Warning commander, sensors are reading multiple contacts approaching from multiple vectors. Looks like the attacking force has brought reinforcements. ";;;
"DefendBase_TitanAttack.dialogueList5.dialogueContent0.words";"Be advised, some of the target buildings are sustaining damage. Your mission is to keep them standing. ";"Be advised, some of the target buildings are sustaining damage. Your mission is to keep them standing. ";;;
"DefendBase_TitanAttack.dialogueList6.dialogueContent0.words";"Commander, a target building has been demolished. Ensure the integrity of the remaining buildings.";"Commander, a target building has been demolished. Ensure the integrity of the remaining buildings.";;;
"DefendBase_TitanAttack.dialogueList7.dialogueContent0.words";"Commander, there's only one target structure left. If we lose it, we've blown the contract. You have to draw their fire somehow.";"Commander, there's only one target structure left. If we lose it, we've blown the contract. You have to draw their fire somehow.";;;
"DefendBase_TitanAttack.dialogueList8.dialogueContent0.words";"Mercenary Commander, we've received word of the assault on your position. Reinforcements are incoming, they are about halfway there. Maintain position and you will be relieved and reinforced shortly. ";"Mercenary Commander, we've received word of the assault on your position. Reinforcements are incoming, they are about halfway there. Maintain position and you will be relieved and reinforced shortly. ";;;
"DefendBase_TitanAttack.dialogueList9.dialogueContent0.words";"Argo, this is {TEAM_EMP.FactionDef.Demonym} local command. Our turrets have been disabled by sabotage.";"Argo, this is {TEAM_EMP.FactionDef.Demonym} local command. Our turrets have been disabled by sabotage.";;;
"DefendBase_TitanAttack.dialogueList9.dialogueContent1.words";"Well now <i>there's</i> a surprise.";"Well now <i>there's</i> a surprise.";;;
"DefendBase_TitanAttack.dialogueList9.dialogueContent2.words";"That's going to make this mission rough, command. Suggestions?";"That's going to make this mission rough, command. Suggestions?";;;
"DefendBase_TitanAttack.dialogueList9.dialogueContent3.words";"I have a team of engineers that can manually restart the turrets, but that can only be done in person at turret control.";"I have a team of engineers that can manually restart the turrets, but that can only be done in person at turret control.";;;
"DefendBase_TitanAttack.dialogueList9.dialogueContent4.words";"Roger. Commander, if we want any backup, we'll need to keep those APCs alive until they get to the turret control building.";"Roger. Commander, if we want any backup, we'll need to keep those APCs alive until they get to the turret control building.";;;
"DefendBase_TitanAttack.longDescription";"We're going to try to keep an <i>assault 'Mech</i> from destroying a facility, without any ground intel. This seems like a really terrible idea, Commander.";"We're going to try to keep an <i>assault 'Mech</i> from destroying a facility, without any ground intel. This seems like a really terrible idea, Commander.";;;
"DefendBase_TitanAttack.objectiveList0.description";"Defend Targeted Base Structures from Attackers";"Defend Targeted Base Structures from Attackers";;;
"DefendBase_TitanAttack.objectiveList0.title";"Defend Target Buildings";"Defend Target Buildings";;;
"DefendBase_TitanAttack.objectiveList1.description";"Destroy the enemy vanguard force, the first wave.";"Destroy the enemy vanguard force, the first wave.";;;
"DefendBase_TitanAttack.objectiveList1.title";"Destroy the Enemy Vanguard";"Destroy the Enemy Vanguard";;;
"DefendBase_TitanAttack.objectiveList2.description";"Optional objective to keep ALL target structures intact.";"Optional objective to keep ALL target structures intact.";;;
"DefendBase_TitanAttack.objectiveList2.title";"All target buildings must survive";"All target buildings must survive";;;
"DefendBase_TitanAttack.objectiveList3.description";"Objective for tracking the time left in the mission. While the player it told to Hold Out for Reinforcements";"Objective for tracking the time left in the mission. While the player it told to Hold Out for Reinforcements";;;
"DefendBase_TitanAttack.objectiveList3.title";"Hold Out for Reinforcements";"Hold Out for Reinforcements";;;
"DefendBase_TitanAttack.objectiveList4.description";"Escort Engineer APCs to Base Defenses in order to take control of them.";"Escort Engineer APCs to Base Defenses in order to take control of them.";;;
"DefendBase_TitanAttack.objectiveList4.title";"Escort Engineer APCs to Base Defenses";"Escort Engineer APCs to Base Defenses";;;
"DefendBase_TitanAttack.objectiveList5.description";"Hidden Objective: Destroy the Second Lance";"Hidden Objective: Destroy the Second Lance";;;
"DefendBase_TitanAttack.objectiveList5.title";"Hidden Objective: Destroy the Second Lance";"Hidden Objective: Destroy the Second Lance";;;
"DefendBase_TitanAttack.objectiveList6.description";"Hidden Objective: Destroy the Third Lance";"Hidden Objective: Destroy the Third Lance";;;
"DefendBase_TitanAttack.objectiveList6.title";"Hidden Objective: Destroy the Third Lance";"Hidden Objective: Destroy the Third Lance";;;
"DefendBase_TitanAttack.objectiveList7.title";"Baddies Inbound";"Baddies Inbound";;;
"DefendBase_TitanAttack.shortDescription";"We have an urgent assignment that we'd like your assistance with, Commander. We have a secret listening post here on {TGT_SYSTEM.name}, and we've just learned that {TEAM_TAR.FactionDef.Demonym} agents have discovered the base's location. We need time to transmit all the data we've gathered to a DropShip in orbit, but they're already advancing on the facility. Worse, we're detecting an engine signature from an assault-class 'Mech closing on the base's location. We need you to drop immediately and protect that base until we can get the data transmitted.";"We have an urgent assignment that we'd like your assistance with, Commander. We have a secret listening post here on {TGT_SYSTEM.name}, and we've just learned that {TEAM_TAR.FactionDef.Demonym} agents have discovered the base's location. We need time to transmit all the data we've gathered to a DropShip in orbit, but they're already advancing on the facility. Worse, we're detecting an engine signature from an assault-class 'Mech closing on the base's location. We need you to drop immediately and protect that base until we can get the data transmitted.";;;
"DefendBase_TitanAttack_Alt.contractName";"Titan Attack";"Titan Attack";;;
"DefendBase_TitanAttack_Alt.dialogueList0.dialogueContent0.words";"Meyer, are you picking up that assault 'Mech they said would be here?";"Meyer, are you picking up that assault 'Mech they said would be here?";;;
"DefendBase_TitanAttack_Alt.dialogueList0.dialogueContent1.words";"No, I'm-- wait, there it is. Shit, that's big. How the hell are we supposed to keep <i>that</i> from blowing shit up?";"No, I'm-- wait, there it is. Shit, that's big. How the hell are we supposed to keep <i>that</i> from blowing shit up?";;;
"DefendBase_TitanAttack_Alt.dialogueList0.dialogueContent2.words";"Engage it and keep it--";"Engage it and keep it--";;;
"DefendBase_TitanAttack_Alt.dialogueList0.dialogueContent3.words";"Uh, Darius? You're not gonna like this. I'm detecting <i>two</i> assault engine signatures.";"Uh, Darius? You're not gonna like this. I'm detecting <i>two</i> assault engine signatures.";;;
"DefendBase_TitanAttack_Alt.dialogueList0.dialogueContent4.words";"You gotta be kidding me.";"You gotta be kidding me.";;;
"DefendBase_TitanAttack_Alt.dialogueList1.dialogueContent0.words";"Holy <i>shit</i>, Commander. Let's not do that again any time soon?";"Holy <i>shit</i>, Commander. Let's not do that again any time soon?";;;
"DefendBase_TitanAttack_Alt.dialogueList1.dialogueContent1.words";"It worked out in the end. Somehow.";"It worked out in the end. Somehow.";;;
"DefendBase_TitanAttack_Alt.dialogueList2.dialogueContent0.words";"What a damn disaster. Let's debrief back in orbit.";"What a damn disaster. Let's debrief back in orbit.";;;
"DefendBase_TitanAttack_Alt.dialogueList3.dialogueContent0.words";"Argo, my engineers are powering the turrets up now. The APCs will scatter and provide support.";"Argo, my engineers are powering the turrets up now. The APCs will scatter and provide support.";;;
"DefendBase_TitanAttack_Alt.dialogueList3.dialogueContent1.words";"Roger, local command. Commander, looks like we have a few more guns on our side.";"Roger, local command. Commander, looks like we have a few more guns on our side.";;;
"DefendBase_TitanAttack_Alt.dialogueList4.dialogueContent0.words";"Warning commander, sensors are reading multiple contacts approaching from multiple vectors. Looks like the attacking force has brought reinforcements. ";"Warning commander, sensors are reading multiple contacts approaching from multiple vectors. Looks like the attacking force has brought reinforcements. ";;;
"DefendBase_TitanAttack_Alt.dialogueList5.dialogueContent0.words";"Be advised, some of the target buildings are sustaining damage. Your mission is to keep them standing. ";"Be advised, some of the target buildings are sustaining damage. Your mission is to keep them standing. ";;;
"DefendBase_TitanAttack_Alt.dialogueList6.dialogueContent0.words";"Commander, a target building has been demolished. Ensure the integrity of the remaining buildings.";"Commander, a target building has been demolished. Ensure the integrity of the remaining buildings.";;;
"DefendBase_TitanAttack_Alt.dialogueList7.dialogueContent0.words";"Commander, there's only one target structure left. If we lose it, we've blown the contract. You have to draw their fire somehow.";"Commander, there's only one target structure left. If we lose it, we've blown the contract. You have to draw their fire somehow.";;;
"DefendBase_TitanAttack_Alt.dialogueList8.dialogueContent0.words";"Mercenary Commander, we've received word of the assault on your position. Reinforcements are incoming, they are about halfway there. Maintain position and you will be relieved and reinforced shortly. ";"Mercenary Commander, we've received word of the assault on your position. Reinforcements are incoming, they are about halfway there. Maintain position and you will be relieved and reinforced shortly. ";;;
"DefendBase_TitanAttack_Alt.dialogueList9.dialogueContent0.words";"Argo, this is {TEAM_EMP.FactionDef.Demonym} local command. Our turrets have been disabled by sabotage.";"Argo, this is {TEAM_EMP.FactionDef.Demonym} local command. Our turrets have been disabled by sabotage.";;;
"DefendBase_TitanAttack_Alt.dialogueList9.dialogueContent1.words";"Well now <i>there's</i> a surprise.";"Well now <i>there's</i> a surprise.";;;
"DefendBase_TitanAttack_Alt.dialogueList9.dialogueContent2.words";"That's going to make this mission rough, command. Suggestions?";"That's going to make this mission rough, command. Suggestions?";;;
"DefendBase_TitanAttack_Alt.dialogueList9.dialogueContent3.words";"I have a team of engineers that can manually restart the turrets, but that can only be done in person at turret control.";"I have a team of engineers that can manually restart the turrets, but that can only be done in person at turret control.";;;
"DefendBase_TitanAttack_Alt.dialogueList9.dialogueContent4.words";"Roger. Commander, if we want any backup, we'll need to keep those APCs alive until they get to the turret control building.";"Roger. Commander, if we want any backup, we'll need to keep those APCs alive until they get to the turret control building.";;;
"DefendBase_TitanAttack_Alt.longDescription";"We're going to keep an <i>assault 'Mech</i> from destroying a facility, without any ground intel. This seems like a really terrible idea, Commander.";"We're going to keep an <i>assault 'Mech</i> from destroying a facility, without any ground intel. This seems like a really terrible idea, Commander.";;;
"DefendBase_TitanAttack_Alt.objectiveList0.description";"Defend Targeted Base Structures from Attackers";"Defend Targeted Base Structures from Attackers";;;
"DefendBase_TitanAttack_Alt.objectiveList0.title";"Defend Target Buildings";"Defend Target Buildings";;;
"DefendBase_TitanAttack_Alt.objectiveList1.description";"Destroy the enemy vanguard force, the first wave.";"Destroy the enemy vanguard force, the first wave.";;;
"DefendBase_TitanAttack_Alt.objectiveList1.title";"Destroy the Enemy Vanguard";"Destroy the Enemy Vanguard";;;
"DefendBase_TitanAttack_Alt.objectiveList2.description";"Optional objective to keep ALL target structures intact.";"Optional objective to keep ALL target structures intact.";;;
"DefendBase_TitanAttack_Alt.objectiveList2.title";"All target buildings must survive";"All target buildings must survive";;;
"DefendBase_TitanAttack_Alt.objectiveList3.description";"Objective for tracking the time left in the mission. While the player it told to Hold Out for Reinforcements";"Objective for tracking the time left in the mission. While the player it told to Hold Out for Reinforcements";;;
"DefendBase_TitanAttack_Alt.objectiveList3.title";"Hold Out for Reinforcements";"Hold Out for Reinforcements";;;
"DefendBase_TitanAttack_Alt.objectiveList4.description";"Escort Engineer APCs to Base Defenses in order to take control of them.";"Escort Engineer APCs to Base Defenses in order to take control of them.";;;
"DefendBase_TitanAttack_Alt.objectiveList4.title";"Escort Engineer APCs to Base Defenses";"Escort Engineer APCs to Base Defenses";;;
"DefendBase_TitanAttack_Alt.objectiveList5.description";"Hidden Objective: Destroy the Second Lance";"Hidden Objective: Destroy the Second Lance";;;
"DefendBase_TitanAttack_Alt.objectiveList5.title";"Hidden Objective: Destroy the Second Lance";"Hidden Objective: Destroy the Second Lance";;;
"DefendBase_TitanAttack_Alt.objectiveList6.description";"Hidden Objective: Destroy the Third Lance";"Hidden Objective: Destroy the Third Lance";;;
"DefendBase_TitanAttack_Alt.objectiveList6.title";"Hidden Objective: Destroy the Third Lance";"Hidden Objective: Destroy the Third Lance";;;
"DefendBase_TitanAttack_Alt.objectiveList7.title";"Baddies Inbound";"Baddies Inbound";;;
"DefendBase_TitanAttack_Alt.shortDescription";"We have an urgent assignment that we'd like your assistance with, Commander. We have a secret listening post here on {TGT_SYSTEM.name}, and we've just learned that {TEAM_TAR.FactionDef.Demonym} agents have discovered the base's location. We need time to transmit all the data we've gathered to a DropShip in orbit, but they're already advancing on the facility. Worse, we're detecting an engine signature from an assault-class 'Mech closing on the base's location. We need you to drop immediately and protect that base until we can get the data transmitted.";"We have an urgent assignment that we'd like your assistance with, Commander. We have a secret listening post here on {TGT_SYSTEM.name}, and we've just learned that {TEAM_TAR.FactionDef.Demonym} agents have discovered the base's location. We need time to transmit all the data we've gathered to a DropShip in orbit, but they're already advancing on the facility. Worse, we're detecting an engine signature from an assault-class 'Mech closing on the base's location. We need you to drop immediately and protect that base until we can get the data transmitted.";;;
"DefendBase_Vanguard_NEW.contractName";"Vanguard";"Vanguard";;;
"DefendBase_Vanguard_NEW.dialogueList0.dialogueContent0.words";"Commander it looks like this babysitting job may be heating up.";"Commander it looks like this babysitting job may be heating up.";;;
"DefendBase_Vanguard_NEW.dialogueList0.dialogueContent1.words";"We're picking up a large increase in {TEAM_TAR.FactionDef.Demonym} and {TEAM_EMP.FactionDef.Demonym} comm chatter.";"We're picking up a large increase in {TEAM_TAR.FactionDef.Demonym} and {TEAM_EMP.FactionDef.Demonym} comm chatter.";;;
"DefendBase_Vanguard_NEW.dialogueList0.dialogueContent2.words";"I suggest you power up your mechs and get ready.";"I suggest you power up your mechs and get ready.";;;
"DefendBase_Vanguard_NEW.dialogueList1.dialogueContent0.words";"The base is secure. Hopefully {TEAM_EMP.FactionDef.ShortName} can hold it themselves, now.";"The base is secure. Hopefully {TEAM_EMP.FactionDef.ShortName} can hold it themselves, now.";;;
"DefendBase_Vanguard_NEW.dialogueList2.dialogueContent0.words";"These losses are too heavy Commander, we've failed.";"These losses are too heavy Commander, we've failed.";;;
"DefendBase_Vanguard_NEW.dialogueList3.dialogueContent0.words";"They're in! The turrets are coming online.";"They're in! The turrets are coming online.";;;
"DefendBase_Vanguard_NEW.dialogueList4.dialogueContent0.words";"Warning commander, sensors are reading multiple contacts approaching from multiple vectors. Looks like the attacking force has brought reinforcements. ";"Warning commander, sensors are reading multiple contacts approaching from multiple vectors. Looks like the attacking force has brought reinforcements. ";;;
"DefendBase_Vanguard_NEW.dialogueList5.dialogueContent0.words";"Be advised, some of the target buildings are sustaining damage. Your mission is to keep them standing.";"Be advised, some of the target buildings are sustaining damage. Your mission is to keep them standing.";;;
"DefendBase_Vanguard_NEW.dialogueList6.dialogueContent0.words";"Commander, we lost a building!";"Commander, we lost a building!";;;
"DefendBase_Vanguard_NEW.dialogueList7.dialogueContent0.words";"Only one building still standing, Commander. We're cutting it awfully close, here.";"Only one building still standing, Commander. We're cutting it awfully close, here.";;;
"DefendBase_Vanguard_NEW.dialogueList8.dialogueContent0.words";"Mercenary Commander, we've received word of the assault on your position. Reinforcements are incoming, they are about halfway there. Maintain position and you will be relieved and reinforced shortly. ";"Mercenary Commander, we've received word of the assault on your position. Reinforcements are incoming, they are about halfway there. Maintain position and you will be relieved and reinforced shortly. ";;;
"DefendBase_Vanguard_NEW.dialogueList9.dialogueContent0.words";"Commander, one of our lances was hit on the way to the facility and has suffered 50% losses.";"Commander, one of our lances was hit on the way to the facility and has suffered 50% losses.";;;
"DefendBase_Vanguard_NEW.dialogueList9.dialogueContent1.words";"You must enure that the survivors reach the facility.";"You must enure that the survivors reach the facility.";;;
"DefendBase_Vanguard_NEW.dialogueList9.dialogueContent2.words";"They're carrying the hardware activation keys for the base turrets.";"They're carrying the hardware activation keys for the base turrets.";;;
"DefendBase_Vanguard_NEW.longDescription";"Commander, if they're hiring mercs to babysit when their forces are less than a day away they expect trouble. Rumors say {TEAM_TAR.FactionDef.Demonym} forces are in the area, they could present a threat.";"Commander, if they're hiring mercs to babysit when their forces are less than a day away they expect trouble. Rumors say {TEAM_TAR.FactionDef.Demonym} forces are in the area, they could present a threat.";;;
"DefendBase_Vanguard_NEW.objectiveList0.description";"Defend Targeted Base Structures from Attackers";"Defend Targeted Base Structures from Attackers";;;
"DefendBase_Vanguard_NEW.objectiveList0.title";"Defend Target Buildings";"Defend Target Buildings";;;
"DefendBase_Vanguard_NEW.objectiveList1.description";"Destroy the enemy vanguard force, the first wave.";"Destroy the enemy vanguard force, the first wave.";;;
"DefendBase_Vanguard_NEW.objectiveList1.title";"Destroy the Enemy Vanguard";"Destroy the Enemy Vanguard";;;
"DefendBase_Vanguard_NEW.objectiveList2.description";"Optional objective to keep ALL target structures intact.";"Optional objective to keep ALL target structures intact.";;;
"DefendBase_Vanguard_NEW.objectiveList2.title";"All target buildings must survive";"All target buildings must survive";;;
"DefendBase_Vanguard_NEW.objectiveList3.description";"Objective for tracking the time left in the mission. While the player it told to Hold Out for Reinforcements";"Objective for tracking the time left in the mission. While the player it told to Hold Out for Reinforcements";;;
"DefendBase_Vanguard_NEW.objectiveList3.title";"Hold Out for Reinforcements";"Hold Out for Reinforcements";;;
"DefendBase_Vanguard_NEW.objectiveList4.description";"Escort the {TEAM_EMP.FactionDef.Demonym} mechs back to the base.";"Escort the {TEAM_EMP.FactionDef.Demonym} mechs back to the base.";;;
"DefendBase_Vanguard_NEW.objectiveList4.title";"Cover the friendly lance.";"Cover the friendly lance.";;;
"DefendBase_Vanguard_NEW.objectiveList5.description";"Hidden Objective: Destroy the Second Lance";"Hidden Objective: Destroy the Second Lance";;;
"DefendBase_Vanguard_NEW.objectiveList5.title";"Hidden Objective: Destroy the Second Lance";"Hidden Objective: Destroy the Second Lance";;;
